timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,12.0,23.1,54,1004.4,8.8,285,0.0,0,3,2,12.0,20.2,57.0,60.1,12.0,12.0,23.683333333333337,47.31666666666666,44.18333333333334
2026-02-26 01:00:00,35.8,22.5,58,1004.9,7.4,292,0.0,1,3,2,12.0,19.8,21.1,74.4,22.0,12.0,16.183333333333334,43.30833333333334,44.18333333333334
2026-02-26 02:00:00,16.1,21.9,61,1005.7,3.7,215,0.0,2,3,2,35.8,12.0,12.0,73.3,14.8,20.9,18.633333333333336,40.09166666666667,44.75833333333333
2026-02-26 03:00:00,32.6,22.8,59,1006.5,3.8,259,0.0,3,3,2,16.1,12.0,20.2,75.3,13.8,12.0,19.316666666666666,35.325,44.8125
2026-02-26 04:00:00,39.5,24.7,53,1006.9,4.2,265,0.0,4,3,2,32.6,35.8,19.8,84.4,27.2,22.7,21.383333333333336,31.766666666666666,45.59583333333333
2026-02-26 05:00:00,42.4,27.4,43,1006.6,3.2,270,0.0,5,3,2,39.5,16.1,12.0,58.2,19.3,12.0,24.666666666666668,28.024999999999995,46.10833333333333
2026-02-26 06:00:00,45.1,30.1,35,1006.3,3.6,229,0.0,6,3,2,42.4,32.6,12.0,57.0,45.0,67.8,29.73333333333333,26.708333333333332,47.07083333333333
2026-02-26 07:00:00,68.6,32.0,29,1005.5,7.4,221,0.0,7,3,2,45.1,39.5,35.8,21.1,79.1,58.1,35.25,25.716666666666665,47.074999999999996
2026-02-26 08:00:00,63.5,32.7,27,1004.4,9.1,221,0.0,8,3,2,68.6,42.4,16.1,12.0,44.5,54.0,40.71666666666667,29.675,46.63750000000001
2026-02-26 09:00:00,55.9,33.0,27,1003.3,9.1,214,0.0,9,3,2,63.5,45.1,32.6,20.2,67.0,68.7,48.61666666666667,33.96666666666667,47.429166666666674
2026-02-26 10:00:00,61.4,33.1,26,1002.4,8.7,202,0.0,10,3,2,55.9,68.6,39.5,19.8,88.2,81.4,52.5,36.94166666666666,46.96666666666667
2026-02-26 11:00:00,60.2,32.8,27,1002.1,8.8,197,0.0,11,3,2,61.4,63.5,42.4,12.0,59.7,72.9,56.150000000000006,40.40833333333334,45.85
2026-02-26 12:00:00,72.6,32.0,27,1001.7,10.4,190,0.0,12,3,2,60.2,55.9,45.1,12.0,60.1,68.7,59.11666666666667,44.425000000000004,45.87083333333334
2026-02-26 13:00:00,54.8,30.9,25,1002.2,11.8,189,0.0,13,3,2,72.6,61.4,68.6,35.8,74.4,86.7,63.70000000000001,49.475,46.39166666666667
2026-02-26 14:00:00,40.5,29.6,27,1002.7,11.9,179,0.0,14,3,2,54.8,60.2,63.5,16.1,73.3,73.5,61.4,51.05833333333333,45.574999999999996
2026-02-26 15:00:00,52.8,28.8,26,1003.3,9.1,187,0.0,15,3,2,40.5,72.6,55.9,32.6,75.3,76.2,57.56666666666666,53.09166666666667,44.208333333333336
2026-02-26 16:00:00,42.3,27.7,28,1003.7,8.0,196,0.0,16,3,2,52.8,54.8,61.4,39.5,84.4,76.5,57.050000000000004,54.775,43.270833333333336
2026-02-26 17:00:00,61.2,26.2,35,1003.6,8.4,208,0.0,17,3,2,42.3,40.5,60.2,42.4,58.2,65.7,53.86666666666667,55.00833333333333,41.516666666666666
2026-02-26 18:00:00,26.6,24.9,41,1003.6,8.2,189,0.0,18,3,2,61.2,52.8,72.6,45.1,57.0,67.9,54.03333333333333,56.57500000000001,41.64166666666667
2026-02-26 19:00:00,23.8,24.0,45,1003.1,8.1,184,0.0,19,3,2,26.6,42.3,54.8,68.6,21.1,35.3,46.36666666666667,55.03333333333333,40.375
2026-02-26 20:00:00,15.1,23.2,51,1003.0,8.7,197,0.0,20,3,2,23.8,61.2,40.5,63.5,12.0,34.2,41.199999999999996,51.300000000000004,40.487500000000004
2026-02-26 21:00:00,12.0,22.3,59,1002.5,8.3,204,0.0,21,3,2,15.1,26.6,52.8,55.9,20.2,34.9,36.96666666666666,47.26666666666667,40.61666666666667
2026-02-26 22:00:00,12.0,21.6,65,1002.5,7.9,192,0.0,22,3,2,12.0,23.8,42.3,61.4,19.8,27.1,30.166666666666668,43.60833333333334,40.275
2026-02-26 23:00:00,20.5,20.9,70,1002.4,6.8,192,0.0,23,3,2,12.0,15.1,61.2,60.2,12.0,30.9,25.116666666666664,39.49166666666667,39.95
2026-02-27 00:00:00,12.0,20.3,73,1002.5,6.1,208,0.0,0,4,2,20.5,12.0,26.6,72.6,12.0,12.0,18.333333333333332,36.18333333333333,40.30416666666667
2026-02-27 01:00:00,27.0,20.2,72,1003.1,5.7,229,0.0,1,4,2,12.0,12.0,23.8,54.8,35.8,22.0,15.9,31.133333333333336,40.30416666666667
2026-02-27 02:00:00,26.8,20.0,74,1003.8,5.5,226,0.0,2,4,2,27.0,20.5,15.1,40.5,16.1,14.8,16.433333333333334,28.816666666666666,39.9375
2026-02-27 03:00:00,27.9,21.0,74,1005.0,5.5,238,0.0,3,4,2,26.8,12.0,12.0,52.8,32.6,13.8,18.383333333333333,27.675,40.38333333333333
2026-02-27 04:00:00,24.6,22.8,69,1005.5,5.9,247,0.0,4,4,2,27.9,27.0,12.0,42.3,39.5,27.2,21.033333333333335,25.599999999999998,40.1875
2026-02-27 05:00:00,40.0,24.9,59,1005.5,5.4,244,0.0,5,4,2,24.6,26.8,20.5,61.2,42.4,19.3,23.133333333333336,24.125,39.56666666666667
2026-02-27 06:00:00,41.4,27.0,51,1005.1,5.5,216,0.0,6,4,2,40.0,27.9,12.0,26.6,45.1,45.0,26.383333333333336,22.358333333333334,39.46666666666667
2026-02-27 07:00:00,38.4,29.0,40,1004.1,6.6,221,0.0,7,4,2,41.4,24.6,27.0,23.8,68.6,79.1,31.28333333333333,23.59166666666667,39.3125
2026-02-27 08:00:00,62.8,30.0,35,1002.9,8.1,225,0.0,8,4,2,38.4,40.0,26.8,15.1,63.5,44.5,33.18333333333333,24.808333333333334,38.05416666666667
2026-02-27 09:00:00,58.6,30.5,32,1001.9,9.2,228,0.0,9,4,2,62.8,41.4,27.9,12.0,55.9,67.0,39.18333333333333,28.78333333333333,38.025
2026-02-27 10:00:00,59.0,30.7,31,1001.2,8.9,228,0.0,10,4,2,58.6,38.4,24.6,12.0,61.4,88.2,44.300000000000004,32.666666666666664,38.137499999999996
2026-02-27 11:00:00,78.0,30.6,32,1000.9,8.5,224,0.0,11,4,2,59.0,62.8,40.0,20.5,60.2,59.7,50.03333333333333,36.58333333333333,38.0375
2026-02-27 12:00:00,57.8,29.7,34,1000.6,9.1,221,0.0,12,4,2,78.0,58.6,41.4,12.0,72.6,60.1,56.36666666666667,41.375,38.77916666666667
2026-02-27 13:00:00,83.3,29.3,34,1000.9,8.4,225,0.0,13,4,2,57.8,59.0,38.4,27.0,54.8,74.4,59.1,45.19166666666667,38.1625
