timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-24 00:00:00,13.3,19.6,83,909.9,6.1,122,0.0,0,1,2,32.8,12.8,12.2,66.8,12.0,12.0,15.633333333333333,32.13333333333333,31.395833333333332
2026-02-24 01:00:00,12.0,19.6,82,910.9,7.3,115,0.0,1,1,2,13.3,12.0,12.0,59.8,12.0,12.0,15.816666666666665,27.675,31.450000000000003
2026-02-24 02:00:00,12.0,20.3,77,911.8,7.0,113,0.0,2,1,2,12.0,32.8,12.0,49.7,12.0,12.0,15.816666666666665,23.691666666666666,31.450000000000003
2026-02-24 03:00:00,19.7,23.0,59,913.3,5.1,117,0.0,3,1,2,12.0,13.3,12.8,62.6,12.0,31.2,15.816666666666665,20.55,31.450000000000003
2026-02-24 04:00:00,12.0,26.0,39,914.2,5.7,122,0.0,4,1,2,19.7,12.0,12.0,37.5,12.0,14.1,16.966666666666665,16.974999999999998,31.770833333333332
2026-02-24 05:00:00,29.4,27.9,35,914.6,5.2,112,0.0,5,1,2,12.0,12.0,32.8,15.4,35.4,45.6,16.966666666666665,14.85,31.770833333333332
2026-02-24 06:00:00,34.5,28.4,36,914.1,4.9,86,0.0,6,1,2,29.4,19.7,13.3,12.2,12.0,12.0,16.400000000000002,16.016666666666666,31.520833333333332
2026-02-24 07:00:00,36.5,30.0,31,913.3,5.0,71,0.0,7,1,2,34.5,12.0,12.0,12.0,38.9,34.3,19.933333333333334,17.875,32.458333333333336
2026-02-24 08:00:00,39.7,30.7,28,912.3,4.9,54,0.0,8,1,2,36.5,29.4,12.0,12.0,71.3,60.9,24.016666666666666,19.916666666666668,32.35833333333333
2026-02-24 09:00:00,65.4,31.3,27,911.3,4.7,43,0.0,9,1,2,39.7,34.5,19.7,12.8,58.3,63.3,28.633333333333336,22.224999999999998,31.041666666666668
2026-02-24 10:00:00,78.0,31.2,26,911.0,4.8,34,0.0,10,1,2,65.4,36.5,12.0,12.0,57.2,72.7,36.25000000000001,26.608333333333334,31.337500000000002
2026-02-24 11:00:00,83.3,30.8,26,910.8,3.9,34,0.0,11,1,2,78.0,39.7,29.4,32.8,34.8,33.7,47.25,32.108333333333334,32.204166666666666
2026-02-24 12:00:00,56.4,29.5,29,910.8,10.1,87,0.0,12,1,2,83.3,65.4,34.5,13.3,66.8,77.5,56.23333333333334,36.31666666666667,34.225
2026-02-24 13:00:00,77.4,28.1,32,911.0,11.4,105,0.0,13,1,2,56.4,78.0,36.5,12.0,59.8,63.1,59.88333333333333,39.90833333333333,33.791666666666664
2026-02-24 14:00:00,38.8,27.3,34,911.8,9.1,111,0.0,14,1,2,77.4,83.3,39.7,12.0,49.7,32.3,66.7,45.35833333333333,34.525
2026-02-24 15:00:00,27.5,26.2,38,912.7,9.3,114,0.0,15,1,2,38.8,56.4,65.4,19.7,62.6,60.0,66.55,47.59166666666667,34.07083333333333
2026-02-24 16:00:00,31.0,25.1,42,913.5,8.6,116,0.0,16,1,2,27.5,77.4,78.0,12.0,37.5,45.2,60.23333333333333,48.241666666666674,32.60833333333333
2026-02-24 17:00:00,20.9,23.4,54,913.9,13.8,99,0.0,17,1,2,31.0,38.8,83.3,29.4,15.4,17.5,52.4,49.82500000000001,32.3375
2026-02-24 18:00:00,14.5,22.2,64,913.3,11.6,106,0.0,18,1,2,20.9,27.5,56.4,34.5,12.2,12.0,41.99999999999999,49.11666666666667,32.56666666666667
2026-02-24 19:00:00,12.0,21.8,66,913.0,7.9,114,0.0,19,1,2,14.5,31.0,77.4,36.5,12.0,12.0,35.016666666666666,47.449999999999996,32.6625
2026-02-24 20:00:00,12.0,21.4,68,912.2,7.9,114,0.0,20,1,2,12.0,20.9,38.8,39.7,12.0,12.0,24.116666666666664,45.40833333333333,32.6625
2026-02-24 21:00:00,12.0,20.9,69,912.0,8.4,113,0.0,21,1,2,12.0,14.5,27.5,65.4,12.8,12.0,19.650000000000002,43.1,32.6625
2026-02-24 22:00:00,12.0,20.4,73,911.4,8.5,96,0.0,22,1,2,12.0,12.0,31.0,78.0,12.0,12.0,17.066666666666666,38.65,32.62916666666667
2026-02-24 23:00:00,12.0,19.8,77,911.5,4.9,141,0.0,23,1,2,12.0,12.0,20.9,83.3,32.8,12.0,13.9,33.15,32.62916666666667
2026-02-25 00:00:00,12.0,20.5,78,912.0,5.4,210,0.0,0,2,2,12.0,12.0,14.5,56.4,13.3,12.0,12.416666666666666,27.208333333333332,31.762500000000003
2026-02-25 01:00:00,43.5,20.5,77,912.8,2.2,125,0.0,1,2,2,12.0,12.0,12.0,77.4,12.0,12.0,12.0,23.508333333333336,31.708333333333332
2026-02-25 02:00:00,15.8,21.0,75,914.0,3.6,160,0.1,2,2,2,43.5,12.0,12.0,38.8,12.0,12.0,17.25,20.683333333333334,33.020833333333336
2026-02-25 03:00:00,12.0,22.5,69,915.1,5.1,207,0.0,3,2,2,15.8,12.0,12.0,27.5,19.7,12.0,17.883333333333333,18.766666666666666,33.17916666666667
2026-02-25 04:00:00,30.0,24.6,58,915.8,3.7,235,0.0,4,2,2,12.0,43.5,12.0,31.0,12.0,12.0,17.883333333333333,17.474999999999998,32.858333333333334
2026-02-25 05:00:00,52.5,26.9,45,916.2,1.3,315,0.0,5,2,2,30.0,15.8,12.0,20.9,29.4,35.4,20.883333333333333,17.391666666666666,33.608333333333334
2026-02-25 06:00:00,22.6,26.5,45,915.7,1.3,352,0.0,6,2,2,52.5,12.0,12.0,14.5,34.5,12.0,27.633333333333336,20.025000000000002,34.57083333333333
2026-02-25 07:00:00,48.4,27.9,38,915.1,3.3,13,0.0,7,2,2,22.6,30.0,43.5,12.0,36.5,38.9,29.400000000000002,20.7,34.075
2026-02-25 08:00:00,57.2,29.2,33,914.3,6.4,10,0.0,8,2,2,48.4,52.5,15.8,12.0,39.7,71.3,30.21666666666667,23.733333333333334,34.57083333333333
2026-02-25 09:00:00,64.0,29.4,32,913.1,10.5,20,0.0,9,2,2,57.2,22.6,12.0,12.0,65.4,58.3,37.11666666666667,27.5,35.300000000000004
2026-02-25 10:00:00,52.8,29.3,30,912.4,9.7,10,0.0,10,2,2,64.0,48.4,30.0,12.0,78.0,57.2,45.78333333333333,31.833333333333332,35.24166666666667
2026-02-25 11:00:00,40.4,29.4,29,912.4,10.6,346,0.0,11,2,2,52.8,57.2,52.5,12.0,83.3,34.8,49.583333333333336,35.233333333333334,34.19166666666667
2026-02-25 12:00:00,50.8,29.3,28,912.1,13.1,12,0.0,12,2,2,40.4,64.0,22.6,12.0,56.4,66.8,47.56666666666666,37.6,32.40416666666666
2026-02-25 13:00:00,62.0,28.1,31,912.7,12.8,11,0.0,13,2,2,50.8,52.8,48.4,43.5,77.4,59.8,52.26666666666667,40.833333333333336,32.170833333333334
2026-02-25 14:00:00,70.2,27.2,35,913.4,8.0,14,0.0,14,2,2,62.0,40.4,57.2,15.8,38.8,49.7,54.53333333333333,42.375,31.52916666666667
2026-02-25 15:00:00,49.9,26.1,38,914.3,6.0,21,0.0,15,2,2,70.2,50.8,64.0,12.0,27.5,62.6,56.699999999999996,46.90833333333333,32.8375
