timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,28.1,17.5,62,955.6,2.2,185,0.0,0,3,2,13.1,46.7,35.0,90.5,12.0,12.0,38.88333333333333,52.375,45.475
2026-02-26 01:00:00,24.5,18.1,58,956.0,1.8,180,0.0,1,3,2,28.1,12.0,58.0,55.7,12.0,25.9,37.73333333333334,47.175000000000004,46.145833333333336
2026-02-26 02:00:00,21.3,18.8,58,956.7,2.3,113,0.0,2,3,2,24.5,13.1,68.5,72.0,12.2,12.0,32.150000000000006,44.574999999999996,46.666666666666664
2026-02-26 03:00:00,45.8,21.5,45,957.6,3.0,166,0.0,3,3,2,21.3,28.1,46.7,52.1,30.8,23.2,24.283333333333335,40.35,47.04583333333333
2026-02-26 04:00:00,41.0,25.0,36,958.7,4.2,168,0.0,4,3,2,45.8,24.5,12.0,52.1,28.9,19.7,24.133333333333336,39.824999999999996,47.67083333333334
2026-02-26 05:00:00,27.8,27.9,29,958.7,6.9,173,0.0,5,3,2,41.0,21.3,13.1,72.8,34.0,19.9,28.96666666666667,38.9,48.175000000000004
2026-02-26 06:00:00,38.4,29.4,25,958.2,6.0,185,0.0,6,3,2,27.8,45.8,28.1,35.0,38.9,50.9,31.416666666666668,35.15,47.916666666666664
2026-02-26 07:00:00,55.0,31.1,21,957.5,4.6,257,0.0,7,3,2,38.4,41.0,24.5,58.0,60.5,64.9,33.13333333333333,35.43333333333334,47.895833333333336
2026-02-26 08:00:00,65.4,31.8,19,956.4,8.0,279,0.0,8,3,2,55.0,27.8,21.3,68.5,59.2,73.1,38.21666666666667,35.18333333333334,47.666666666666664
2026-02-26 09:00:00,63.3,32.1,19,955.3,12.2,283,0.0,9,3,2,65.4,38.4,45.8,46.7,64.7,86.3,45.56666666666666,34.925000000000004,47.925000000000004
2026-02-26 10:00:00,35.7,31.2,20,954.7,14.9,279,0.0,10,3,2,63.3,55.0,41.0,12.0,44.9,60.5,48.48333333333333,36.30833333333333,47.86666666666667
