timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,43.0,11.6,88,935.4,1.5,30,0.0,0,3,2,20.3,24.6,61.5,94.8,22.5,36.1,34.6,60.875,51.78333333333334
2026-02-26 01:00:00,28.0,11.2,90,935.1,1.9,17,0.0,1,3,2,43.0,37.8,40.1,93.8,30.5,15.9,31.516666666666666,56.55833333333333,52.63750000000001
2026-02-26 02:00:00,37.0,11.9,85,935.6,3.3,9,0.0,2,3,2,28.0,20.3,23.3,103.5,27.4,20.3,29.5,51.074999999999996,52.53333333333334
2026-02-26 03:00:00,16.1,16.3,69,937.3,3.8,5,0.0,3,3,2,37.0,43.0,24.6,96.7,20.4,60.7,31.78333333333333,45.53333333333333,52.93333333333334
2026-02-26 04:00:00,50.3,19.4,61,938.1,1.0,292,0.0,4,3,2,16.1,28.0,37.8,73.6,36.1,68.6,30.366666666666664,38.81666666666666,52.75416666666666
2026-02-26 05:00:00,40.4,21.3,54,938.2,2.8,195,0.0,5,3,2,50.3,37.0,20.3,60.5,17.0,39.8,32.449999999999996,36.875,53.34583333333333
2026-02-26 06:00:00,46.9,22.0,50,938.0,3.1,216,0.0,6,3,2,40.4,16.1,43.0,61.5,55.8,27.1,35.800000000000004,35.199999999999996,54.32083333333333
2026-02-26 07:00:00,48.2,23.4,46,937.4,5.4,233,0.0,7,3,2,46.9,50.3,28.0,40.1,50.6,40.9,36.449999999999996,33.983333333333334,53.949999999999996
2026-02-26 08:00:00,38.6,24.5,41,936.7,10.2,247,0.0,8,3,2,48.2,40.4,37.0,23.3,56.5,45.9,39.81666666666667,34.65833333333333,53.849999999999994
2026-02-26 09:00:00,34.6,24.4,41,936.0,13.4,253,0.0,9,3,2,38.6,46.9,16.1,24.6,67.0,69.6,40.083333333333336,35.93333333333334,53.104166666666664
2026-02-26 10:00:00,36.1,24.4,36,935.4,13.6,264,0.0,10,3,2,34.6,48.2,50.3,37.8,88.9,84.3,43.166666666666664,36.766666666666666,51.75416666666666
2026-02-26 11:00:00,43.8,23.0,45,934.9,14.4,268,0.0,11,3,2,36.1,38.6,40.4,20.3,39.6,67.1,40.800000000000004,36.625,49.55416666666667
2026-02-26 12:00:00,80.7,21.6,52,934.5,7.4,263,0.0,12,3,2,43.8,34.6,46.9,43.0,94.8,70.9,41.36666666666667,38.583333333333336,49.729166666666664
2026-02-26 13:00:00,67.6,19.0,63,934.0,2.2,189,0.0,13,3,2,80.7,36.1,48.2,28.0,93.8,72.8,47.0,41.725,49.14166666666666
2026-02-26 14:00:00,69.2,17.3,70,934.2,4.4,145,0.0,14,3,2,67.6,43.8,38.6,37.0,103.5,83.7,50.23333333333333,45.025000000000006,48.050000000000004
2026-02-26 15:00:00,51.1,16.0,76,934.5,5.9,108,0.0,15,3,2,69.2,80.7,34.6,16.1,96.7,69.9,55.333333333333336,47.708333333333336,46.62083333333334
2026-02-26 16:00:00,83.4,15.3,76,934.8,6.9,83,0.0,16,3,2,51.1,67.6,36.1,50.3,73.6,47.3,58.083333333333336,50.625,44.72083333333333
2026-02-26 17:00:00,58.9,14.3,78,934.7,4.8,61,0.0,17,3,2,83.4,69.2,43.8,40.4,60.5,51.6,65.96666666666665,53.38333333333333,45.12916666666667
2026-02-26 18:00:00,58.7,13.8,83,934.7,2.3,45,0.0,18,3,2,58.9,51.1,80.7,46.9,61.5,32.7,68.48333333333333,54.92499999999999,45.0625
2026-02-26 19:00:00,39.4,13.6,83,934.4,2.6,34,0.0,19,3,2,58.7,83.4,67.6,48.2,40.1,20.3,64.81666666666666,55.90833333333333,44.94583333333333
2026-02-26 20:00:00,45.6,12.7,84,934.1,2.3,18,0.0,20,3,2,39.4,58.9,69.2,38.6,23.3,18.7,60.116666666666674,55.175000000000004,44.916666666666664
2026-02-26 21:00:00,12.0,11.9,85,933.3,4.1,13,0.0,21,3,2,45.6,58.7,51.1,34.6,24.6,12.0,56.18333333333333,55.75833333333333,45.84583333333333
2026-02-26 22:00:00,12.0,11.2,86,932.9,4.3,17,0.0,22,3,2,12.0,39.4,83.4,36.1,37.8,28.3,49.666666666666664,53.875,45.32083333333333
2026-02-26 23:00:00,31.7,10.7,87,932.2,4.0,18,0.0,23,3,2,12.0,45.6,58.9,43.8,20.3,12.0,37.766666666666666,51.86666666666667,44.24583333333334
2026-02-27 00:00:00,25.2,13.9,74,933.1,1.5,76,0.0,0,4,2,31.7,12.0,58.7,80.7,43.0,22.5,33.233333333333334,50.85833333333334,44.72083333333333
2026-02-27 01:00:00,19.4,12.6,79,933.0,2.0,27,0.0,1,4,2,25.2,12.0,39.4,67.6,28.0,30.5,27.650000000000002,46.23333333333333,43.979166666666664
2026-02-27 02:00:00,31.6,13.1,78,933.9,2.9,22,0.0,2,4,2,19.4,31.7,45.6,69.2,37.0,27.4,24.316666666666666,42.21666666666667,43.62083333333333
2026-02-27 03:00:00,42.3,16.5,73,935.5,3.4,6,0.0,3,4,2,31.6,25.2,12.0,51.1,16.1,20.4,21.983333333333334,39.083333333333336,43.395833333333336
2026-02-27 04:00:00,27.2,20.1,54,937.0,0.7,284,0.0,4,4,2,42.3,19.4,12.0,83.4,50.3,36.1,27.03333333333333,38.35,44.48749999999999
2026-02-27 05:00:00,40.1,22.0,44,937.2,2.5,188,0.0,5,4,2,27.2,31.6,31.7,58.9,40.4,17.0,29.566666666666666,33.666666666666664,43.525000000000006
2026-02-27 06:00:00,46.5,22.9,44,937.1,2.7,200,0.0,6,4,2,40.1,42.3,25.2,58.7,46.9,55.8,30.966666666666665,32.1,43.512499999999996
2026-02-27 07:00:00,49.2,24.5,40,936.8,6.5,251,0.0,7,4,2,46.5,27.2,19.4,39.4,48.2,50.6,34.516666666666666,31.083333333333332,43.49583333333334
2026-02-27 08:00:00,21.7,24.6,38,936.0,10.9,264,0.1,8,4,2,49.2,40.1,31.6,45.6,38.6,56.5,39.48333333333333,31.900000000000002,43.5375
2026-02-27 09:00:00,59.0,24.3,42,935.1,11.9,267,0.0,9,4,2,21.7,46.5,42.3,12.0,34.6,67.0,37.833333333333336,29.90833333333333,42.833333333333336
2026-02-27 10:00:00,54.3,24.5,36,934.9,11.5,271,0.1,10,4,2,59.0,49.2,27.2,12.0,36.1,88.9,40.61666666666667,33.824999999999996,43.85
