timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-24 00:00:00,12.0,19.9,96,953.7,6.9,123,0.5,0,1,2,12.0,14.6,26.6,87.9,18.5,14.3,27.599999999999998,49.19166666666667,45.65833333333333
2026-02-24 01:00:00,12.0,20.2,94,954.8,6.0,123,0.1,1,1,2,12.0,26.1,39.0,78.8,44.3,12.0,25.166666666666668,42.86666666666667,45.387499999999996
2026-02-24 02:00:00,18.0,20.2,92,955.9,4.5,127,0.0,2,1,2,12.0,12.0,47.3,80.0,30.3,18.9,20.666666666666668,37.300000000000004,44.041666666666664
2026-02-24 03:00:00,19.3,21.5,85,956.7,7.0,179,0.0,3,1,2,18.0,12.0,14.6,55.8,22.8,59.2,15.783333333333331,32.13333333333333,43.52916666666667
2026-02-24 04:00:00,44.0,23.5,73,957.2,7.9,160,0.0,4,1,2,19.3,12.0,26.1,66.5,36.7,26.2,16.566666666666666,29.09166666666667,43.38333333333333
2026-02-24 05:00:00,26.1,25.0,64,957.6,8.4,138,0.0,5,1,2,44.0,18.0,12.0,55.7,65.2,37.7,19.55,27.21666666666667,43.6875
2026-02-24 06:00:00,30.2,25.8,59,957.1,6.4,153,0.0,6,1,2,26.1,19.3,12.0,26.6,24.4,41.6,21.900000000000002,24.75,42.05833333333333
2026-02-24 07:00:00,73.7,27.1,53,956.0,3.8,177,0.0,7,1,2,30.2,44.0,12.0,39.0,35.0,71.4,24.933333333333337,25.05,42.3
2026-02-24 08:00:00,69.1,27.9,49,954.8,1.7,167,0.0,8,1,2,73.7,26.1,18.0,47.3,55.4,62.7,35.21666666666667,27.941666666666666,43.9125
2026-02-24 09:00:00,92.2,28.3,45,953.9,2.7,138,0.0,9,1,2,69.1,30.2,19.3,14.6,60.7,81.7,43.73333333333333,29.758333333333336,44.48333333333333
2026-02-24 10:00:00,85.7,28.8,41,953.7,2.7,132,0.0,10,1,2,92.2,73.7,44.0,26.1,79.9,93.3,55.88333333333333,36.225,45.79583333333333
2026-02-24 11:00:00,81.8,28.9,37,953.6,4.3,112,0.0,11,1,2,85.7,69.1,26.1,12.0,32.3,68.6,62.833333333333336,41.19166666666667,46.0375
2026-02-24 12:00:00,87.3,28.9,38,953.5,2.4,144,0.0,12,1,2,81.8,92.2,30.2,12.0,87.9,41.8,72.11666666666666,47.00833333333333,48.1
2026-02-24 13:00:00,67.2,27.6,43,954.3,4.5,76,0.0,13,1,2,87.3,85.7,73.7,12.0,78.8,85.5,81.63333333333333,53.28333333333333,48.074999999999996
2026-02-24 14:00:00,65.9,26.2,49,954.9,5.4,75,0.0,14,1,2,67.2,81.8,69.1,18.0,80.0,65.2,80.55,57.88333333333333,47.59166666666667
2026-02-24 15:00:00,83.1,25.1,56,955.4,3.6,120,0.0,15,1,2,65.9,87.3,92.2,19.3,55.8,62.2,80.01666666666667,61.875,47.00416666666666
2026-02-24 16:00:00,57.5,24.4,59,955.9,4.1,103,0.0,16,1,2,83.1,67.2,85.7,44.0,66.5,56.1,78.5,67.19166666666668,48.14166666666667
2026-02-24 17:00:00,40.5,23.3,65,956.2,3.7,101,0.0,17,1,2,57.5,65.9,81.8,26.1,55.7,68.3,73.8,68.31666666666666,47.76666666666667
2026-02-24 18:00:00,60.4,22.2,77,955.9,3.4,115,0.0,18,1,2,40.5,83.1,87.3,30.2,26.6,46.5,66.91666666666667,69.51666666666667,47.13333333333333
2026-02-24 19:00:00,37.6,22.2,75,955.8,4.3,105,0.0,19,1,2,60.4,57.5,67.2,73.7,39.0,68.5,62.43333333333334,72.03333333333333,48.541666666666664
2026-02-24 20:00:00,28.4,21.7,77,955.0,4.2,115,0.0,20,1,2,37.6,40.5,65.9,69.1,47.3,34.8,57.5,69.025,48.48333333333334
