timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rainfall
2026-02-22 00:00:00,21.8,74,953.0,3.4,87,0.0
2026-02-22 01:00:00,22.1,73,953.9,5.6,135,0.0
2026-02-22 02:00:00,22.2,71,954.8,5.2,124,0.0
2026-02-22 03:00:00,23.4,65,955.8,4.0,126,0.0
2026-02-22 04:00:00,24.5,60,956.2,4.1,139,0.0
2026-02-22 05:00:00,27.4,47,956.3,7.3,160,0.0
2026-02-22 06:00:00,28.8,41,955.9,5.9,153,0.0
2026-02-22 07:00:00,30.2,34,954.9,3.9,133,0.0
2026-02-22 08:00:00,30.8,30,953.5,3.6,120,0.0
2026-02-22 09:00:00,31.9,26,952.5,2.3,162,0.0
2026-02-22 10:00:00,31.8,25,951.7,3.3,135,0.0
2026-02-22 11:00:00,31.2,27,951.3,5.4,64,0.0
2026-02-22 12:00:00,30.2,32,951.7,12.1,80,0.0
2026-02-22 13:00:00,29.4,36,952.5,8.1,87,0.0
2026-02-22 14:00:00,28.3,39,953.1,8.4,115,0.0
2026-02-22 15:00:00,27.1,43,953.7,7.2,103,0.0
2026-02-22 16:00:00,26.4,46,954.0,6.0,115,0.0
2026-02-22 17:00:00,25.9,48,954.1,4.3,118,0.0
2026-02-22 18:00:00,25.5,52,953.5,4.3,118,0.0
2026-02-22 19:00:00,24.8,54,952.9,3.2,109,0.0
2026-02-22 20:00:00,24.2,57,952.7,5.5,136,0.0
2026-02-22 21:00:00,23.5,61,952.3,4.8,112,0.0
2026-02-22 22:00:00,22.8,66,952.3,4.0,80,0.0
2026-02-22 23:00:00,22.5,71,952.6,4.9,98,0.0
2026-02-23 00:00:00,21.8,84,952.7,2.0,135,0.0
2026-02-23 01:00:00,21.7,86,953.6,4.5,124,0.0
2026-02-23 02:00:00,21.8,86,954.4,3.6,93,0.0
2026-02-23 03:00:00,22.9,79,955.2,5.2,104,0.0
2026-02-23 04:00:00,24.9,67,955.9,6.4,122,0.0
2026-02-23 05:00:00,26.9,57,956.1,5.0,125,0.0
2026-02-23 06:00:00,27.9,49,955.7,4.9,118,0.0
2026-02-23 07:00:00,29.5,41,954.8,6.6,131,0.0
2026-02-23 08:00:00,30.7,36,953.7,7.5,136,0.0
2026-02-23 09:00:00,31.4,33,952.5,7.5,153,0.0
2026-02-23 10:00:00,27.4,49,952.3,2.0,275,1.3
2026-02-23 11:00:00,25.0,58,952.8,12.5,349,0.6
2026-02-23 12:00:00,27.6,44,952.2,2.2,312,0.0
2026-02-23 13:00:00,27.9,43,952.7,2.6,12,0.0
2026-02-23 14:00:00,27.5,45,953.7,5.6,57,0.0
2026-02-23 15:00:00,27.2,48,954.3,7.1,47,0.0
2026-02-23 16:00:00,26.2,52,954.7,5.7,66,0.0
2026-02-23 17:00:00,25.5,55,954.6,5.6,61,0.0
2026-02-23 18:00:00,22.8,72,954.8,9.8,55,0.0
2026-02-23 19:00:00,22.0,75,954.5,7.9,78,0.0
2026-02-23 20:00:00,21.3,76,954.2,4.3,68,0.0
2026-02-23 21:00:00,20.6,79,953.7,9.4,95,0.3
2026-02-23 22:00:00,20.0,84,954.2,2.1,149,0.6
2026-02-23 23:00:00,19.5,93,953.9,9.4,128,2.2
2026-02-24 00:00:00,19.9,96,953.7,6.9,123,0.5
2026-02-24 01:00:00,20.2,94,954.8,6.0,123,0.1
2026-02-24 02:00:00,20.2,92,955.9,4.5,127,0.0
2026-02-24 03:00:00,21.5,85,956.7,7.0,179,0.0
2026-02-24 04:00:00,23.5,73,957.2,7.9,160,0.0
2026-02-24 05:00:00,25.0,64,957.6,8.4,138,0.0
2026-02-24 06:00:00,25.8,59,957.1,6.4,153,0.0
2026-02-24 07:00:00,27.1,53,956.0,3.8,177,0.0
2026-02-24 08:00:00,27.9,49,954.8,1.7,167,0.0
2026-02-24 09:00:00,28.3,45,953.9,2.7,138,0.0
2026-02-24 10:00:00,28.8,41,953.7,2.7,132,0.0
2026-02-24 11:00:00,28.9,37,953.6,4.3,112,0.0
