timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,12.0,21.1,42,949.9,10.1,175,0.0,0,3,2,12.0,25.8,23.0,67.0,12.0,12.0,28.55,42.824999999999996,43.82916666666666
2026-02-26 01:00:00,12.0,20.9,42,950.3,8.9,162,0.0,1,3,2,12.0,35.5,56.0,78.3,16.9,12.0,26.71666666666667,38.24166666666667,43.82916666666666
2026-02-26 02:00:00,12.0,21.5,41,950.9,10.2,149,0.0,2,3,2,12.0,12.0,19.0,56.6,12.0,12.0,19.383333333333336,32.71666666666667,43.625
2026-02-26 03:00:00,12.0,23.6,37,952.0,9.3,156,0.0,3,3,2,12.0,12.0,25.8,48.4,12.1,17.9,18.21666666666667,29.0,43.625
2026-02-26 04:00:00,31.8,26.3,32,952.9,6.3,162,0.0,4,3,2,12.0,12.0,35.5,40.6,26.6,16.8,15.916666666666666,25.96666666666667,43.62083333333333
2026-02-26 05:00:00,37.8,28.6,26,952.8,8.6,158,0.0,5,3,2,31.8,12.0,12.0,51.7,36.5,20.3,15.299999999999999,25.233333333333334,43.837500000000006
2026-02-26 06:00:00,48.0,29.7,24,952.3,6.3,160,0.0,6,3,2,37.8,12.0,12.0,23.0,62.4,50.6,19.599999999999998,24.075,43.89166666666667
2026-02-26 07:00:00,60.4,30.9,22,951.6,4.0,148,0.0,7,3,2,48.0,31.8,12.0,56.0,69.8,55.8,25.599999999999998,26.15833333333333,43.291666666666664
2026-02-26 08:00:00,67.5,31.5,21,950.7,2.7,138,0.0,8,3,2,60.4,37.8,12.0,19.0,74.5,78.6,33.666666666666664,26.525000000000002,42.9
2026-02-26 09:00:00,81.7,32.4,19,949.5,1.4,180,0.0,9,3,2,67.5,48.0,12.0,25.8,84.2,62.9,42.916666666666664,30.566666666666663,42.608333333333334
2026-02-26 10:00:00,83.1,31.8,19,948.7,3.2,254,0.0,10,3,2,81.7,60.4,31.8,35.5,54.5,52.2,54.53333333333333,35.225,42.50416666666666
2026-02-26 11:00:00,82.5,31.6,20,948.3,4.9,253,0.0,11,3,2,83.1,67.5,37.8,12.0,76.5,54.3,63.083333333333336,39.19166666666666,43.69583333333333
2026-02-26 12:00:00,79.2,31.2,21,947.9,7.4,241,0.0,12,3,2,82.5,81.7,48.0,12.0,67.0,67.2,70.53333333333335,45.06666666666666,43.94583333333333
2026-02-26 13:00:00,74.9,29.2,25,948.2,1.5,300,0.0,13,3,2,79.2,83.1,60.4,12.0,78.3,64.1,75.73333333333333,50.666666666666664,44.45416666666666
2026-02-26 14:00:00,91.7,27.7,28,948.6,3.0,25,0.0,14,3,2,74.9,82.5,67.5,12.0,56.6,70.6,78.14999999999999,55.90833333333333,44.3125
2026-02-26 15:00:00,50.6,26.7,32,949.2,2.5,30,0.0,15,3,2,91.7,79.2,81.7,12.0,48.4,52.8,82.18333333333334,62.550000000000004,45.775
2026-02-26 16:00:00,65.1,26.1,33,949.2,6.0,25,0.0,16,3,2,50.6,74.9,83.1,31.8,40.6,39.7,77.0,65.76666666666667,45.86666666666667
2026-02-26 17:00:00,47.5,24.8,36,948.9,4.7,18,0.0,17,3,2,65.1,91.7,82.5,37.8,51.7,52.3,74.0,68.54166666666667,46.887499999999996
2026-02-26 18:00:00,33.2,24.2,38,948.9,4.4,81,0.0,18,3,2,47.5,50.6,79.2,48.0,23.0,17.5,68.16666666666667,69.35,46.7125
2026-02-26 19:00:00,44.8,23.6,40,948.3,4.0,129,0.0,19,3,2,33.2,65.1,74.9,60.4,56.0,12.0,60.5,68.11666666666666,47.137499999999996
