timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rainfall
2026-02-24 00:00:00,16.8,72,960.7,7.3,23,0.0
2026-02-24 01:00:00,16.6,73,961.3,6.2,22,0.0
2026-02-24 02:00:00,16.3,75,962.5,5.2,22,0.0
2026-02-24 03:00:00,18.7,67,963.9,5.2,49,0.0
2026-02-24 04:00:00,21.8,56,964.9,4.4,111,0.0
2026-02-24 05:00:00,24.0,48,965.5,6.0,134,0.0
2026-02-24 06:00:00,25.9,39,965.4,7.3,152,0.0
2026-02-24 07:00:00,27.0,32,965.1,5.0,154,0.0
2026-02-24 08:00:00,27.6,30,964.3,3.8,149,0.0
2026-02-24 09:00:00,28.0,28,963.4,3.7,169,0.0
2026-02-24 10:00:00,28.1,26,963.1,4.1,193,0.0
2026-02-24 11:00:00,27.4,27,962.8,4.1,232,0.0
2026-02-24 12:00:00,26.4,31,962.5,1.5,173,0.0
2026-02-24 13:00:00,23.7,52,962.5,0.9,79,0.0
2026-02-24 14:00:00,21.8,58,962.8,3.2,74,0.0
2026-02-24 15:00:00,20.5,60,963.1,1.9,34,0.0
2026-02-24 16:00:00,19.7,62,963.5,1.9,29,0.0
2026-02-24 17:00:00,18.4,58,963.5,7.5,11,0.0
2026-02-24 18:00:00,18.2,60,963.5,9.9,37,0.0
2026-02-24 19:00:00,18.3,57,963.3,10.3,43,0.0
2026-02-24 20:00:00,17.9,55,963.3,8.1,43,0.0
2026-02-24 21:00:00,17.3,57,963.2,6.6,45,0.0
2026-02-24 22:00:00,16.8,59,963.2,6.8,53,0.0
2026-02-24 23:00:00,15.8,67,962.7,5.2,59,0.0
2026-02-25 00:00:00,16.3,63,963.2,7.0,42,0.0
2026-02-25 01:00:00,16.1,66,963.7,5.5,44,0.0
2026-02-25 02:00:00,16.3,65,964.4,5.6,50,0.0
2026-02-25 03:00:00,18.6,58,965.6,6.6,53,0.0
2026-02-25 04:00:00,21.6,50,966.6,5.6,73,0.0
2026-02-25 05:00:00,24.0,41,966.8,5.9,104,0.0
2026-02-25 06:00:00,25.8,38,966.5,6.4,144,0.0
2026-02-25 07:00:00,27.4,33,965.9,7.2,167,0.0
2026-02-25 08:00:00,28.3,29,965.3,6.2,188,0.0
2026-02-25 09:00:00,28.9,26,964.3,5.4,222,0.0
2026-02-25 10:00:00,28.8,24,963.9,6.8,268,0.0
2026-02-25 11:00:00,28.1,24,963.7,8.1,295,0.0
2026-02-25 12:00:00,27.8,25,963.3,6.0,291,0.0
2026-02-25 13:00:00,25.4,41,963.0,1.1,351,0.0
2026-02-25 14:00:00,23.4,46,963.2,1.3,98,0.0
2026-02-25 15:00:00,21.4,53,963.4,4.5,146,0.0
2026-02-25 16:00:00,20.6,60,963.7,3.3,131,0.0
2026-02-25 17:00:00,19.3,55,964.0,11.3,31,0.0
2026-02-25 18:00:00,19.6,50,964.0,6.7,44,0.0
2026-02-25 19:00:00,18.7,54,964.1,8.9,29,0.0
2026-02-25 20:00:00,18.2,57,963.4,5.4,42,0.0
2026-02-25 21:00:00,17.5,60,962.9,5.5,46,0.0
2026-02-25 22:00:00,17.0,60,962.7,6.2,38,0.0
2026-02-25 23:00:00,16.7,60,962.5,7.1,9,0.0
2026-02-26 00:00:00,16.2,63,962.3,5.8,20,0.0
2026-02-26 01:00:00,15.9,64,962.3,4.3,33,0.0
2026-02-26 02:00:00,16.4,64,962.7,4.1,45,0.0
2026-02-26 03:00:00,19.3,51,963.7,4.6,59,0.0
2026-02-26 04:00:00,22.7,39,964.5,3.6,139,0.0
2026-02-26 05:00:00,25.3,29,964.6,5.6,163,0.0
2026-02-26 06:00:00,27.2,26,964.6,7.6,188,0.0
2026-02-26 07:00:00,28.6,26,963.9,7.6,208,0.0
2026-02-26 08:00:00,29.8,21,963.0,7.1,249,0.0
2026-02-26 09:00:00,30.1,18,962.0,11.0,289,0.0
2026-02-26 10:00:00,29.6,20,961.5,11.6,298,0.0
2026-02-26 11:00:00,29.3,21,961.0,6.1,304,0.0
2026-02-26 12:00:00,28.8,23,960.4,3.5,24,0.0
2026-02-26 13:00:00,26.0,30,959.9,4.6,59,0.0
2026-02-26 14:00:00,23.7,42,960.0,3.7,76,0.0
2026-02-26 15:00:00,22.3,48,960.5,2.7,58,0.0
2026-02-26 16:00:00,21.1,51,960.7,3.1,54,0.0
2026-02-26 17:00:00,21.2,41,960.7,2.6,16,0.0
2026-02-26 18:00:00,20.0,48,960.5,7.6,38,0.0
2026-02-26 19:00:00,19.1,51,959.9,5.7,62,0.0
2026-02-26 20:00:00,18.7,50,959.8,6.1,43,0.0
2026-02-26 21:00:00,17.9,53,959.2,4.6,42,0.0
2026-02-26 22:00:00,17.8,50,959.0,4.9,36,0.0
2026-02-26 23:00:00,17.3,53,958.5,4.7,32,0.0
2026-02-27 00:00:00,17.4,56,958.8,2.9,112,0.0
2026-02-27 01:00:00,17.1,58,959.2,2.8,130,0.0
2026-02-27 02:00:00,17.5,59,959.9,1.6,90,0.0
2026-02-27 03:00:00,20.2,47,961.1,0.6,326,0.0
2026-02-27 04:00:00,23.5,41,962.2,3.4,174,0.0
2026-02-27 05:00:00,26.0,37,962.3,4.3,180,0.0
2026-02-27 06:00:00,28.1,32,962.2,5.4,220,0.0
2026-02-27 07:00:00,30.2,23,961.7,6.7,236,0.0
2026-02-27 08:00:00,31.3,18,960.9,9.8,252,0.0
2026-02-27 09:00:00,30.9,18,959.7,11.0,259,0.0
2026-02-27 10:00:00,30.2,20,959.1,9.4,262,0.0
2026-02-27 11:00:00,30.1,20,958.8,8.9,252,0.0
2026-02-27 12:00:00,29.3,24,958.2,6.9,173,0.0
2026-02-27 13:00:00,26.4,36,958.1,5.6,140,0.0
2026-02-27 14:00:00,25.2,41,958.3,4.4,83,0.0
2026-02-27 15:00:00,23.6,48,958.8,3.8,79,0.0
2026-02-27 16:00:00,23.3,51,959.2,4.2,54,0.0
2026-02-27 17:00:00,22.0,61,958.9,1.6,27,0.0
2026-02-27 18:00:00,23.2,53,959.3,1.0,121,0.0
2026-02-27 19:00:00,22.6,49,959.1,11.0,208,0.0
2026-02-27 20:00:00,21.0,64,958.7,3.4,177,0.0
2026-02-27 21:00:00,20.7,61,958.3,3.8,180,0.0
2026-02-27 22:00:00,20.1,62,958.1,6.0,185,0.0
2026-02-27 23:00:00,19.3,62,957.9,5.0,285,0.0
2026-02-28 00:00:00,21.2,52,958.2,9.2,268,0.0
2026-02-28 01:00:00,21.0,51,958.7,8.6,272,0.0
2026-02-28 02:00:00,21.1,51,959.6,8.8,281,0.0
2026-02-28 03:00:00,22.1,49,960.6,8.6,292,0.0
2026-02-28 04:00:00,23.6,44,961.5,6.7,270,0.0
2026-02-28 05:00:00,25.0,41,961.6,7.1,263,0.0
2026-02-28 06:00:00,27.4,36,961.7,7.9,267,0.0
2026-02-28 07:00:00,28.7,32,961.3,7.6,275,0.0
2026-02-28 08:00:00,29.6,28,960.5,5.7,279,0.0
2026-02-28 09:00:00,29.9,26,959.4,3.2,289,0.0
2026-02-28 10:00:00,30.3,23,959.0,5.6,312,0.0
2026-02-28 11:00:00,29.5,24,958.7,8.2,331,0.0
2026-02-28 12:00:00,28.8,27,958.6,8.3,340,0.0
2026-02-28 13:00:00,27.2,30,958.9,4.4,333,0.0
2026-02-28 14:00:00,25.6,41,959.4,2.9,313,0.0
2026-02-28 15:00:00,24.2,40,959.7,4.0,8,0.0
2026-02-28 16:00:00,23.0,41,960.1,6.8,25,0.0
2026-02-28 17:00:00,21.8,40,960.2,6.8,37,0.0
2026-02-28 18:00:00,21.3,43,960.2,6.6,29,0.0
2026-02-28 19:00:00,20.4,53,960.2,1.9,17,0.0
2026-02-28 20:00:00,20.1,55,959.9,0.8,315,0.0
2026-02-28 21:00:00,19.8,52,959.7,6.3,345,0.0
2026-02-28 22:00:00,19.0,55,959.4,7.5,345,0.0
2026-02-28 23:00:00,18.6,56,959.1,5.1,350,0.0
2026-03-01 00:00:00,18.8,58,959.1,5.6,2,0.0
2026-03-01 01:00:00,18.9,57,959.6,6.6,11,0.0
2026-03-01 02:00:00,18.9,56,960.3,6.0,16,0.0
2026-03-01 03:00:00,21.5,47,961.5,5.9,31,0.0
2026-03-01 04:00:00,25.0,37,962.8,3.0,73,0.0
2026-03-01 05:00:00,27.6,29,963.4,4.8,143,0.0
2026-03-01 06:00:00,29.0,25,963.3,5.6,184,0.0
2026-03-01 07:00:00,30.6,19,962.9,4.3,222,0.0
2026-03-01 08:00:00,31.5,15,962.1,7.5,285,0.0
2026-03-01 09:00:00,31.2,15,961.6,15.3,315,0.0
2026-03-01 10:00:00,30.5,16,961.3,15.7,327,0.0
2026-03-01 11:00:00,30.3,17,961.1,12.0,311,0.0
2026-03-01 12:00:00,30.1,17,960.6,8.6,303,0.0
2026-03-01 13:00:00,27.3,29,960.4,3.5,325,0.0
2026-03-01 14:00:00,25.9,32,961.0,2.4,9,0.0
2026-03-01 15:00:00,25.1,32,961.7,1.7,347,0.0
2026-03-01 16:00:00,23.2,32,962.4,7.9,57,0.0
2026-03-01 17:00:00,21.6,45,962.5,3.1,353,0.0
2026-03-01 18:00:00,21.2,40,962.7,6.7,340,0.0
2026-03-01 19:00:00,20.1,47,962.2,4.2,340,0.0
2026-03-01 20:00:00,19.7,47,962.2,4.4,12,0.0
2026-03-01 21:00:00,18.9,47,961.5,4.6,351,0.0
2026-03-01 22:00:00,19.0,45,961.2,5.2,358,0.0
2026-03-01 23:00:00,17.8,53,961.0,2.2,351,0.0
2026-03-02 00:00:00,19.3,51,961.3,5.6,245,0.0
2026-03-02 01:00:00,19.8,46,962.1,6.4,254,0.0
2026-03-02 02:00:00,20.1,45,962.7,6.3,270,0.0
2026-03-02 03:00:00,22.7,39,963.8,6.0,279,0.0
2026-03-02 04:00:00,26.2,31,965.1,4.3,248,0.0
2026-03-02 05:00:00,28.5,25,965.7,6.4,232,0.0
2026-03-02 06:00:00,29.7,23,965.8,9.2,237,0.0
2026-03-02 07:00:00,31.2,19,965.5,10.9,261,0.0
2026-03-02 08:00:00,31.7,18,964.8,12.9,288,0.0
2026-03-02 09:00:00,31.8,18,964.3,12.3,301,0.0
2026-03-02 10:00:00,31.8,18,963.6,10.5,311,0.0
2026-03-02 11:00:00,31.3,19,963.3,11.3,323,0.0
2026-03-02 12:00:00,30.5,21,963.0,10.6,349,0.0
2026-03-02 13:00:00,28.6,24,963.2,7.1,350,0.0
2026-03-02 14:00:00,26.7,32,963.4,4.3,327,0.0
2026-03-02 15:00:00,25.7,35,963.8,4.0,302,0.0
2026-03-02 16:00:00,24.8,33,964.3,5.1,306,0.0
2026-03-02 17:00:00,23.5,37,964.5,5.1,342,0.0
2026-03-02 18:00:00,21.9,45,964.3,4.3,338,0.0
2026-03-02 19:00:00,22.0,44,964.1,5.7,325,0.0
2026-03-02 20:00:00,22.0,42,964.1,8.4,340,0.0
2026-03-02 21:00:00,21.1,41,963.6,7.5,349,0.0
2026-03-02 22:00:00,20.0,45,962.8,6.0,351,0.0
2026-03-02 23:00:00,18.9,50,962.2,4.9,350,0.0
2026-03-03 00:00:00,18.5,59,962.5,5.0,2,0.0
2026-03-03 01:00:00,18.2,60,963.1,4.5,355,0.0
2026-03-03 02:00:00,18.8,58,963.9,3.3,324,0.0
2026-03-03 03:00:00,21.6,48,965.0,3.8,289,0.0
2026-03-03 04:00:00,25.7,36,966.2,2.9,274,0.0
2026-03-03 05:00:00,28.6,28,966.8,5.2,274,0.0
2026-03-03 06:00:00,30.6,20,966.7,9.2,281,0.0
2026-03-03 07:00:00,31.7,17,966.2,12.5,293,0.0
2026-03-03 08:00:00,32.0,18,965.5,12.6,294,0.0
2026-03-03 09:00:00,32.4,16,964.7,12.0,298,0.0
2026-03-03 10:00:00,32.2,17,964.1,11.9,305,0.0
2026-03-03 11:00:00,31.7,17,963.8,11.4,311,0.0
2026-03-03 12:00:00,30.7,18,963.6,9.3,319,0.0
2026-03-03 13:00:00,28.1,24,963.8,4.5,323,0.0
2026-03-03 14:00:00,26.6,28,964.2,4.5,286,0.0
2026-03-03 15:00:00,26.0,25,964.8,6.2,291,0.0
2026-03-03 16:00:00,25.8,23,965.3,7.4,302,0.0
2026-03-03 17:00:00,25.4,22,965.3,8.3,321,0.0
2026-03-03 18:00:00,23.7,27,965.1,7.4,311,0.0
2026-03-03 19:00:00,22.8,28,964.7,8.4,312,0.0
2026-03-03 20:00:00,22.2,30,964.5,9.3,299,0.0
2026-03-03 21:00:00,21.6,32,964.0,8.9,297,0.0
2026-03-03 22:00:00,21.1,33,963.7,8.8,296,0.0
2026-03-03 23:00:00,20.6,35,963.6,9.3,295,0.0
2026-03-04 00:00:00,20.3,38,963.9,9.1,306,0.0
2026-03-04 01:00:00,19.6,40,964.4,9.2,315,0.0
2026-03-04 02:00:00,20.2,39,965.2,9.3,311,0.0
2026-03-04 03:00:00,23.4,32,966.3,9.0,305,0.0
2026-03-04 04:00:00,27.2,26,967.6,6.0,297,0.0
2026-03-04 05:00:00,30.3,20,968.0,7.2,292,0.0
2026-03-04 06:00:00,32.3,16,968.0,11.7,311,0.0
2026-03-04 07:00:00,33.1,16,967.6,13.5,313,0.0
2026-03-04 08:00:00,33.4,16,966.7,13.3,308,0.0
2026-03-04 09:00:00,33.5,16,965.7,12.8,305,0.0
2026-03-04 10:00:00,33.4,15,965.2,12.6,306,0.0
2026-03-04 11:00:00,32.7,16,964.8,12.5,307,0.0
2026-03-04 12:00:00,32.1,17,964.1,9.9,312,0.0
2026-03-04 13:00:00,29.6,22,964.1,4.6,291,0.0
2026-03-04 14:00:00,28.7,24,964.3,6.2,285,0.0
2026-03-04 15:00:00,28.7,22,964.7,9.0,296,0.0
2026-03-04 16:00:00,28.2,22,965.2,9.9,305,0.0
2026-03-04 17:00:00,27.2,23,965.0,9.5,307,0.0
2026-03-04 18:00:00,25.3,29,964.7,10.1,305,0.0
2026-03-04 19:00:00,24.1,33,964.1,11.3,314,0.0
2026-03-04 20:00:00,23.5,34,963.5,10.9,304,0.0
2026-03-04 21:00:00,23.1,35,963.1,11.3,301,0.0
2026-03-04 22:00:00,22.9,35,962.5,12.1,305,0.0
2026-03-04 23:00:00,22.6,34,962.2,12.4,306,0.0
