timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-24 00:00:00,22.9,19.0,92,1010.2,6.4,52,0.1,0,1,2,27.0,13.4,57.8,95.9,40.5,38.9,37.0,64.70833333333333,68.01666666666667
2026-02-24 01:00:00,36.7,19.9,91,1010.2,6.7,56,0.0,1,1,2,22.9,21.9,52.5,84.6,48.3,38.4,31.183333333333326,58.625,67.28333333333333
2026-02-24 02:00:00,32.5,21.1,86,1010.8,6.7,92,0.0,2,1,2,36.7,27.0,49.4,110.0,44.6,32.8,28.549999999999997,54.63333333333333,66.8
2026-02-24 03:00:00,15.3,22.9,78,1011.9,8.2,350,0.7,3,1,2,32.5,22.9,13.4,94.5,77.7,43.8,25.733333333333334,48.17499999999999,66.29583333333333
2026-02-24 04:00:00,12.0,21.1,85,1012.6,14.4,99,8.7,4,1,2,15.3,36.7,21.9,95.6,37.3,70.0,26.05,41.574999999999996,63.69583333333333
2026-02-24 05:00:00,28.7,23.6,76,1011.7,9.4,91,0.0,5,1,2,12.0,32.5,27.0,73.9,49.4,72.7,24.400000000000002,34.60833333333333,62.64166666666666
2026-02-24 06:00:00,63.0,24.8,75,1011.1,4.6,144,0.0,6,1,2,28.7,15.3,22.9,57.8,65.0,59.0,24.683333333333334,30.84166666666667,61.77916666666667
2026-02-24 07:00:00,68.6,25.2,75,1009.8,3.4,148,0.0,7,1,2,63.0,12.0,36.7,52.5,92.2,82.2,31.366666666666664,31.274999999999995,61.69583333333333
2026-02-24 08:00:00,95.4,25.8,70,1008.6,2.6,155,0.0,8,1,2,68.6,28.7,32.5,49.4,88.1,64.0,36.68333333333334,32.61666666666667,60.7125
2026-02-24 09:00:00,96.5,27.2,61,1007.6,2.3,151,0.0,9,1,2,95.4,63.0,15.3,13.4,93.7,96.6,47.166666666666664,36.449999999999996,61.01666666666667
2026-02-24 10:00:00,122.0,26.8,61,1007.2,0.6,236,0.0,10,1,2,96.5,68.6,12.0,21.9,121.8,77.6,60.699999999999996,43.375,61.13333333333333
2026-02-24 11:00:00,116.2,27.0,61,1007.5,2.0,275,0.0,11,1,2,122.0,95.4,28.7,27.0,97.3,92.2,79.03333333333333,51.71666666666667,61.14166666666667
2026-02-24 12:00:00,111.9,25.5,78,1007.7,2.2,351,0.0,12,1,2,116.2,96.5,63.0,22.9,95.9,103.9,93.61666666666667,59.15,61.92916666666667
2026-02-24 13:00:00,122.4,24.9,79,1008.7,0.3,45,0.0,13,1,2,111.9,122.0,68.6,36.7,84.6,109.4,101.76666666666667,66.56666666666668,62.59583333333333
2026-02-24 14:00:00,108.5,23.9,84,1009.8,2.6,124,0.0,14,1,2,122.4,116.2,95.4,32.5,110.0,75.7,110.73333333333333,73.70833333333333,64.17083333333333
2026-02-24 15:00:00,113.3,23.5,84,1010.1,0.6,34,0.0,15,1,2,108.5,111.9,96.5,15.3,94.5,80.3,112.91666666666667,80.04166666666667,64.10833333333333
2026-02-24 16:00:00,89.7,22.7,86,1010.6,2.5,98,0.0,16,1,2,113.3,122.4,122.0,12.0,95.6,53.8,115.71666666666668,88.20833333333333,64.89166666666667
2026-02-24 17:00:00,67.1,22.4,88,1010.8,3.6,147,0.0,17,1,2,89.7,108.5,116.2,28.7,73.9,67.5,110.33333333333333,94.68333333333334,64.64583333333333
2026-02-24 18:00:00,54.7,22.4,88,1010.5,2.9,176,0.0,18,1,2,67.1,113.3,111.9,63.0,57.8,68.5,102.14999999999999,97.88333333333333,64.3625
2026-02-24 19:00:00,50.8,21.9,90,1010.1,3.3,171,0.0,19,1,2,54.7,89.7,122.4,68.6,52.5,56.9,92.61666666666667,97.19166666666666,64.23333333333333
2026-02-24 20:00:00,50.0,21.5,91,1009.9,2.8,215,0.0,20,1,2,50.8,67.1,108.5,95.4,49.4,51.3,80.68333333333334,95.70833333333333,64.1625
2026-02-24 21:00:00,66.1,21.0,93,1009.7,2.5,274,0.0,21,1,2,50.0,54.7,113.3,96.5,13.4,46.9,70.93333333333334,91.925,64.1875
2026-02-24 22:00:00,35.8,20.4,95,1009.6,3.5,282,0.0,22,1,2,66.1,50.8,89.7,122.0,21.9,32.8,63.06666666666666,89.39166666666667,66.38333333333334
2026-02-24 23:00:00,41.4,19.9,97,1009.7,3.4,276,0.0,23,1,2,35.8,50.0,67.1,116.2,27.0,24.3,54.08333333333332,82.20833333333333,66.9625
2026-02-25 00:00:00,42.8,19.8,98,1010.2,4.3,265,0.0,0,2,2,41.4,66.1,54.7,111.9,22.9,40.5,49.800000000000004,75.97500000000001,67.5625
2026-02-25 01:00:00,26.6,19.7,97,1011.0,5.0,257,0.0,1,2,2,42.8,35.8,50.8,122.4,36.7,48.3,47.81666666666666,70.21666666666665,68.39166666666667
2026-02-25 02:00:00,25.0,20.1,96,1011.8,4.9,298,0.0,2,2,2,26.6,41.4,50.0,108.5,32.5,44.6,43.78333333333333,62.23333333333333,67.97083333333333
2026-02-25 03:00:00,45.7,22.2,89,1012.4,3.3,319,0.0,3,2,2,25.0,42.8,66.1,113.3,15.3,77.7,39.61666666666667,55.275,67.65833333333333
2026-02-25 04:00:00,43.2,24.9,79,1012.6,4.0,328,0.0,4,2,2,45.7,26.6,35.8,89.7,12.0,37.3,36.21666666666667,49.64166666666667,68.925
2026-02-25 05:00:00,53.2,27.2,66,1011.9,5.4,326,0.0,5,2,2,43.2,25.0,41.4,67.1,28.7,49.4,37.449999999999996,45.76666666666666,70.22500000000001
2026-02-25 06:00:00,79.0,28.4,51,1011.2,7.7,311,0.0,6,2,2,53.2,45.7,42.8,54.7,63.0,65.0,39.416666666666664,44.60833333333333,71.24583333333334
2026-02-25 07:00:00,69.3,28.9,42,1010.1,8.8,290,0.0,7,2,2,79.0,43.2,26.6,50.8,68.6,92.2,45.449999999999996,46.633333333333326,71.91250000000001
