timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,38.8,20.6,79,929.0,5.5,259,0.0,0,3,2,38.9,12.0,47.9,63.2,26.7,12.0,35.68333333333333,50.75,46.96666666666667
2026-02-26 01:00:00,31.7,20.7,79,929.8,4.5,270,0.0,1,3,2,38.8,41.0,47.4,101.3,12.0,33.2,34.166666666666664,48.71666666666666,47.47083333333333
2026-02-26 02:00:00,18.3,21.6,75,930.6,7.9,271,0.0,2,3,2,31.7,38.9,26.9,73.2,12.0,35.7,31.55,42.916666666666664,48.291666666666664
2026-02-26 03:00:00,17.1,24.5,60,931.6,6.8,259,0.0,3,3,2,18.3,38.8,12.0,73.9,35.3,21.6,30.116666666666664,38.34166666666666,48.55416666666667
2026-02-26 04:00:00,41.4,26.7,50,932.2,5.0,257,0.0,4,3,2,17.1,31.7,41.0,16.7,54.4,39.0,30.96666666666667,33.608333333333334,47.79583333333333
2026-02-26 05:00:00,60.8,28.5,42,932.2,1.9,343,0.0,5,3,2,41.4,18.3,38.9,66.6,50.0,53.7,31.03333333333333,35.666666666666664,47.25416666666667
2026-02-26 06:00:00,64.2,28.5,42,931.5,4.0,51,0.1,6,3,2,60.8,17.1,38.8,47.9,40.7,46.3,34.68333333333333,35.18333333333333,47.70416666666667
2026-02-26 07:00:00,71.8,30.1,36,930.5,5.2,16,0.0,7,3,2,64.2,41.4,31.7,47.4,56.5,72.8,38.916666666666664,36.541666666666664,48.68333333333334
2026-02-26 08:00:00,62.2,29.9,35,929.2,7.3,10,0.0,8,3,2,71.8,60.8,18.3,26.9,61.8,69.2,45.6,38.575,49.32083333333333
2026-02-26 09:00:00,72.2,29.9,35,928.3,6.0,3,0.1,9,3,2,62.2,64.2,17.1,12.0,52.3,82.0,52.916666666666664,41.516666666666666,49.337500000000006
2026-02-26 10:00:00,74.1,29.4,37,928.0,3.7,14,0.1,10,3,2,72.2,71.8,41.4,41.0,40.9,77.4,62.1,46.53333333333333,50.166666666666664
2026-02-26 11:00:00,65.3,29.2,38,927.7,4.0,32,0.0,11,3,2,74.1,62.2,60.8,38.9,75.6,109.7,67.55,49.291666666666664,51.550000000000004
2026-02-26 12:00:00,94.2,29.9,34,927.3,6.3,2,0.0,12,3,2,65.3,72.2,64.2,38.8,63.2,90.0,68.3,51.49166666666667,51.12083333333333
2026-02-26 13:00:00,89.0,28.2,40,927.5,4.7,320,0.0,13,3,2,94.2,74.1,71.8,31.7,101.3,61.2,73.3,56.10833333333333,52.4125
2026-02-26 14:00:00,72.4,26.6,48,927.7,3.7,346,0.0,14,3,2,89.0,65.3,62.2,18.3,73.2,28.6,76.16666666666667,60.88333333333333,51.9
2026-02-26 15:00:00,81.5,26.1,51,928.2,1.7,238,0.0,15,3,2,72.4,94.2,72.2,17.1,73.9,75.7,77.86666666666666,65.39166666666667,51.866666666666674
2026-02-26 16:00:00,48.6,24.7,56,929.5,10.1,221,0.0,16,3,2,81.5,89.0,74.1,41.4,16.7,12.3,79.41666666666667,70.75833333333334,52.18333333333334
2026-02-26 17:00:00,65.0,23.8,67,929.6,7.6,239,0.0,17,3,2,48.6,72.4,65.3,60.8,66.6,44.2,75.16666666666667,71.35833333333333,53.512499999999996
2026-02-26 18:00:00,40.7,23.6,73,929.0,1.0,149,0.0,18,3,2,65.0,81.5,94.2,64.2,47.9,12.0,75.11666666666667,71.70833333333333,53.44583333333333
2026-02-26 19:00:00,66.3,23.4,74,928.7,0.2,360,0.1,19,3,2,40.7,48.6,89.0,71.8,47.4,32.0,66.2,69.75,53.145833333333336
2026-02-26 20:00:00,12.0,20.9,83,928.2,8.9,251,2.1,20,3,2,66.3,65.0,72.4,62.2,26.9,31.3,62.416666666666664,69.29166666666667,53.93333333333334
2026-02-26 21:00:00,12.9,20.6,85,927.2,2.6,344,0.5,21,3,2,12.0,40.7,81.5,72.2,12.0,12.0,52.35,65.10833333333333,53.3125
2026-02-26 22:00:00,12.0,20.3,88,926.7,1.7,311,0.0,22,3,2,12.9,66.3,48.6,74.1,41.0,45.9,40.916666666666664,60.166666666666664,53.35
2026-02-26 23:00:00,52.6,20.2,90,926.5,1.3,180,0.0,23,3,2,12.0,12.0,65.0,65.3,38.9,27.0,34.81666666666667,54.99166666666667,52.14166666666667
2026-02-27 00:00:00,12.0,20.9,78,926.6,5.1,108,0.0,0,4,2,52.6,12.9,40.7,94.2,38.8,26.7,32.75,53.93333333333334,52.7125
2026-02-27 01:00:00,33.2,20.8,78,927.4,4.7,118,0.0,1,4,2,12.0,12.0,66.3,89.0,31.7,12.0,27.96666666666667,47.083333333333336,51.59583333333333
2026-02-27 02:00:00,19.5,22.1,72,928.6,4.7,184,0.0,2,4,2,33.2,52.6,12.0,72.4,18.3,12.0,22.45,42.43333333333333,51.65833333333333
2026-02-27 03:00:00,32.2,23.8,64,929.6,5.0,180,0.0,3,4,2,19.5,12.0,12.9,81.5,17.1,35.3,23.7,38.025,51.708333333333336
2026-02-27 04:00:00,34.5,26.0,55,930.5,3.5,208,0.0,4,4,2,32.2,33.2,12.0,48.6,41.4,54.4,26.916666666666668,33.916666666666664,52.337500000000006
2026-02-27 05:00:00,65.6,27.3,48,930.6,1.6,207,0.1,5,4,2,34.5,19.5,52.6,65.0,60.8,50.0,30.666666666666668,32.74166666666667,52.050000000000004
2026-02-27 06:00:00,59.9,27.2,48,929.8,0.6,252,0.2,6,4,2,65.6,32.2,12.0,40.7,64.2,40.7,32.833333333333336,32.791666666666664,52.25
2026-02-27 07:00:00,89.5,29.2,41,929.1,1.8,90,0.1,7,4,2,59.9,34.5,33.2,66.3,71.8,56.5,40.81666666666667,34.391666666666666,52.07083333333333
2026-02-27 08:00:00,70.8,29.8,38,928.1,1.1,72,0.1,8,4,2,89.5,65.6,19.5,12.0,62.2,61.8,50.199999999999996,36.324999999999996,52.80833333333334
2026-02-27 09:00:00,90.1,29.6,38,927.0,1.9,34,0.2,9,4,2,70.8,59.9,32.2,12.9,72.2,52.3,58.75,41.225,53.166666666666664
2026-02-27 10:00:00,95.1,29.0,40,926.5,3.3,36,0.2,10,4,2,90.1,89.5,34.5,12.0,74.1,40.9,68.39999999999999,47.65833333333333,53.912499999999994
2026-02-27 11:00:00,101.6,29.0,39,926.5,5.2,49,0.0,11,4,2,95.1,70.8,65.6,52.6,65.3,75.6,78.5,54.583333333333336,54.7875
