timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rainfall
2026-02-24 00:00:00,20.4,96,926.5,4.3,222,0.0
2026-02-24 01:00:00,20.2,96,927.5,3.6,217,0.0
2026-02-24 02:00:00,21.4,89,928.7,4.2,220,0.0
2026-02-24 03:00:00,23.8,72,929.8,3.1,177,0.0
2026-02-24 04:00:00,26.1,62,930.5,1.5,187,0.0
2026-02-24 05:00:00,28.1,52,930.7,2.0,185,0.0
2026-02-24 06:00:00,27.9,51,930.1,1.0,158,0.0
2026-02-24 07:00:00,30.5,41,929.3,2.0,85,0.0
2026-02-24 08:00:00,31.6,35,928.2,3.6,57,0.0
2026-02-24 09:00:00,32.2,31,927.1,4.0,58,0.0
2026-02-24 10:00:00,32.5,29,926.7,4.6,36,0.0
2026-02-24 11:00:00,32.0,29,926.7,7.1,21,0.0
2026-02-24 12:00:00,32.0,28,926.2,3.2,317,0.0
2026-02-24 13:00:00,29.8,35,926.9,9.6,347,0.0
2026-02-24 14:00:00,27.2,46,928.1,13.7,242,0.0
2026-02-24 15:00:00,25.8,60,929.1,4.0,273,0.0
2026-02-24 16:00:00,23.2,75,930.3,17.8,178,0.3
2026-02-24 17:00:00,20.3,86,929.4,11.4,232,0.0
2026-02-24 18:00:00,20.4,83,929.2,9.7,230,0.0
2026-02-24 19:00:00,20.7,80,929.8,9.6,276,0.3
2026-02-24 20:00:00,19.8,89,929.4,2.3,270,1.1
2026-02-24 21:00:00,19.3,91,928.8,11.5,239,0.4
2026-02-24 22:00:00,19.1,94,928.0,4.7,268,0.0
2026-02-24 23:00:00,18.9,97,928.1,5.1,287,0.0
2026-02-25 00:00:00,19.6,93,928.5,6.3,263,0.0
2026-02-25 01:00:00,19.6,95,929.6,7.2,243,0.0
2026-02-25 02:00:00,20.6,91,930.4,4.9,264,0.0
2026-02-25 03:00:00,23.0,77,931.6,1.6,264,0.0
2026-02-25 04:00:00,25.6,62,932.5,1.7,198,0.0
2026-02-25 05:00:00,27.7,52,932.8,2.0,153,0.0
2026-02-25 06:00:00,28.6,47,932.4,4.9,62,0.0
2026-02-25 07:00:00,29.9,40,931.6,7.1,47,0.0
2026-02-25 08:00:00,30.0,39,930.4,8.8,35,0.0
2026-02-25 09:00:00,30.2,37,929.3,10.4,18,0.0
2026-02-25 10:00:00,29.1,38,929.0,14.4,358,0.0
2026-02-25 11:00:00,28.7,36,929.0,10.4,349,0.0
2026-02-25 12:00:00,29.5,34,928.6,8.1,355,0.0
2026-02-25 13:00:00,28.3,37,929.4,8.5,302,0.0
2026-02-25 14:00:00,23.0,68,930.1,16.6,248,0.0
2026-02-25 15:00:00,23.3,68,930.9,7.9,259,0.0
2026-02-25 16:00:00,23.5,67,931.3,5.2,243,0.0
2026-02-25 17:00:00,23.3,68,931.4,6.8,243,0.0
2026-02-25 18:00:00,22.6,74,930.6,6.5,270,0.0
2026-02-25 19:00:00,22.5,75,930.3,4.5,220,0.0
2026-02-25 20:00:00,21.7,81,929.7,4.1,178,0.0
2026-02-25 21:00:00,21.6,82,929.4,8.2,170,0.0
2026-02-25 22:00:00,20.8,81,929.1,7.6,187,0.0
2026-02-25 23:00:00,20.1,82,928.9,1.6,180,0.0
2026-02-26 00:00:00,20.6,79,929.0,5.5,259,0.0
2026-02-26 01:00:00,20.7,79,929.8,4.5,270,0.0
2026-02-26 02:00:00,21.6,75,930.6,7.9,271,0.0
2026-02-26 03:00:00,24.5,60,931.6,6.8,259,0.0
2026-02-26 04:00:00,26.7,50,932.2,5.0,257,0.0
2026-02-26 05:00:00,28.5,42,932.2,1.9,343,0.0
2026-02-26 06:00:00,28.5,42,931.5,4.0,51,0.1
2026-02-26 07:00:00,30.1,36,930.5,5.2,16,0.0
2026-02-26 08:00:00,29.9,35,929.2,7.3,10,0.0
2026-02-26 09:00:00,29.9,35,928.3,6.0,3,0.1
2026-02-26 10:00:00,29.4,37,928.0,3.7,14,0.1
2026-02-26 11:00:00,29.2,38,927.7,4.0,32,0.0
2026-02-26 12:00:00,29.9,34,927.3,6.3,2,0.0
2026-02-26 13:00:00,28.2,40,927.5,4.7,320,0.0
2026-02-26 14:00:00,26.6,48,927.7,3.7,346,0.0
2026-02-26 15:00:00,26.1,51,928.2,1.7,238,0.0
2026-02-26 16:00:00,24.7,56,929.5,10.1,221,0.0
2026-02-26 17:00:00,23.8,67,929.6,7.6,239,0.0
2026-02-26 18:00:00,23.6,73,929.0,1.0,149,0.0
2026-02-26 19:00:00,23.4,74,928.7,0.2,360,0.1
2026-02-26 20:00:00,20.9,83,928.2,8.9,251,2.1
2026-02-26 21:00:00,20.6,85,927.2,2.6,344,0.5
2026-02-26 22:00:00,20.3,88,926.7,1.7,311,0.0
2026-02-26 23:00:00,20.2,90,926.5,1.3,180,0.0
2026-02-27 00:00:00,20.9,78,926.6,5.1,108,0.0
2026-02-27 01:00:00,20.8,78,927.4,4.7,118,0.0
2026-02-27 02:00:00,22.1,72,928.6,4.7,184,0.0
2026-02-27 03:00:00,23.8,64,929.6,5.0,180,0.0
2026-02-27 04:00:00,26.0,55,930.5,3.5,208,0.0
2026-02-27 05:00:00,27.3,48,930.6,1.6,207,0.1
2026-02-27 06:00:00,27.2,48,929.8,0.6,252,0.2
2026-02-27 07:00:00,29.2,41,929.1,1.8,90,0.1
2026-02-27 08:00:00,29.8,38,928.1,1.1,72,0.1
2026-02-27 09:00:00,29.6,38,927.0,1.9,34,0.2
2026-02-27 10:00:00,29.0,40,926.5,3.3,36,0.2
2026-02-27 11:00:00,29.0,39,926.5,5.2,49,0.0
2026-02-27 12:00:00,29.7,37,926.1,4.6,11,0.0
2026-02-27 13:00:00,27.7,46,926.1,0.4,180,0.0
2026-02-27 14:00:00,26.0,51,926.6,9.2,206,0.0
2026-02-27 15:00:00,24.9,58,927.5,9.0,240,0.1
2026-02-27 16:00:00,24.1,63,927.9,11.8,247,0.0
2026-02-27 17:00:00,23.1,68,927.8,9.8,240,0.0
2026-02-27 18:00:00,22.6,77,927.6,4.2,70,0.0
2026-02-27 19:00:00,22.2,79,926.8,7.2,302,0.0
2026-02-27 20:00:00,22.8,74,926.2,6.8,268,0.0
2026-02-27 21:00:00,22.2,77,926.1,9.2,154,0.0
2026-02-27 22:00:00,21.7,78,925.8,7.1,189,0.0
2026-02-27 23:00:00,21.5,77,925.8,6.0,205,0.0
2026-02-28 00:00:00,20.6,82,925.8,2.7,233,0.0
2026-02-28 01:00:00,20.9,77,926.7,2.0,190,0.1
2026-02-28 02:00:00,21.7,76,928.2,4.3,197,0.1
2026-02-28 03:00:00,23.2,68,929.2,6.9,150,0.0
2026-02-28 04:00:00,25.3,59,930.1,7.9,153,0.0
2026-02-28 05:00:00,26.9,51,930.1,7.0,134,0.1
2026-02-28 06:00:00,27.5,49,929.8,8.0,118,0.1
2026-02-28 07:00:00,29.0,44,928.9,7.8,127,0.1
2026-02-28 08:00:00,29.8,41,928.0,5.9,130,0.0
2026-02-28 09:00:00,30.2,39,927.1,3.5,129,0.0
2026-02-28 10:00:00,30.6,37,926.6,1.6,117,0.0
2026-02-28 11:00:00,29.9,38,926.6,1.9,229,0.0
2026-02-28 12:00:00,29.6,38,926.6,5.3,168,0.1
2026-02-28 13:00:00,27.8,43,926.6,5.0,206,0.0
2026-02-28 14:00:00,26.4,50,927.4,14.8,240,0.0
2026-02-28 15:00:00,24.6,63,928.0,14.9,245,0.0
2026-02-28 16:00:00,23.3,70,928.5,12.5,254,0.0
2026-02-28 17:00:00,22.5,75,928.0,12.0,254,0.0
2026-02-28 18:00:00,21.8,79,927.8,9.7,271,0.0
2026-02-28 19:00:00,21.1,81,927.3,6.1,258,0.0
2026-02-28 20:00:00,20.3,86,926.8,5.5,238,0.0
2026-02-28 21:00:00,19.3,92,926.1,3.6,200,0.0
2026-02-28 22:00:00,18.8,95,926.0,2.8,235,0.0
2026-02-28 23:00:00,18.7,94,926.1,1.1,279,0.0
2026-03-01 00:00:00,18.6,97,926.2,2.9,263,0.0
2026-03-01 01:00:00,18.6,97,927.3,1.3,286,0.0
2026-03-01 02:00:00,20.0,92,928.6,2.3,331,0.0
2026-03-01 03:00:00,22.9,76,929.9,2.2,90,0.0
2026-03-01 04:00:00,25.2,61,930.9,6.2,112,0.0
2026-03-01 05:00:00,27.2,51,931.2,6.9,115,0.0
2026-03-01 06:00:00,28.6,44,930.6,7.2,112,0.0
2026-03-01 07:00:00,30.2,37,929.7,6.6,112,0.0
2026-03-01 08:00:00,31.1,33,929.0,7.0,108,0.0
2026-03-01 09:00:00,31.3,31,928.0,6.6,119,0.0
2026-03-01 10:00:00,31.4,30,927.5,6.0,143,0.0
2026-03-01 11:00:00,31.4,28,927.4,5.0,167,0.0
2026-03-01 12:00:00,30.6,28,927.4,3.5,195,0.0
2026-03-01 13:00:00,28.8,48,927.5,0.2,180,0.0
2026-03-01 14:00:00,27.7,43,927.9,2.7,360,0.0
2026-03-01 15:00:00,26.4,48,928.3,1.2,219,0.0
2026-03-01 16:00:00,25.6,50,929.6,14.5,216,0.0
2026-03-01 17:00:00,23.2,72,929.0,12.2,269,0.0
2026-03-01 18:00:00,21.3,84,929.1,11.4,265,0.0
2026-03-01 19:00:00,20.9,87,928.9,6.0,231,0.0
2026-03-01 20:00:00,20.1,93,928.5,5.8,185,0.0
2026-03-01 21:00:00,19.3,96,928.1,3.1,201,0.0
2026-03-01 22:00:00,19.1,97,928.0,1.4,220,0.0
2026-03-01 23:00:00,18.6,99,928.1,2.8,259,0.0
2026-03-02 00:00:00,19.2,93,928.0,4.8,205,0.0
