timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,28.6,20.9,45,976.2,7.0,44,0.0,0,3,2,12.0,12.0,55.5,104.8,17.3,12.9,22.650000000000002,45.26666666666666,46.475
2026-02-26 01:00:00,18.0,20.9,44,976.8,7.6,34,0.0,1,3,2,28.6,18.2,22.6,61.5,12.0,16.6,18.166666666666668,38.916666666666664,46.94583333333333
2026-02-26 02:00:00,12.0,21.3,43,977.8,7.8,44,0.0,2,3,2,18.0,12.0,15.6,65.7,28.6,12.0,17.400000000000002,35.291666666666664,47.19583333333333
2026-02-26 03:00:00,12.0,23.4,37,978.6,5.6,45,0.0,3,3,2,12.0,28.6,12.0,43.6,19.1,38.7,16.8,30.816666666666666,46.50416666666666
2026-02-26 04:00:00,36.6,26.0,32,979.1,4.3,66,0.0,4,3,2,12.0,18.0,18.2,67.9,12.0,28.7,16.8,28.183333333333334,46.208333333333336
2026-02-26 05:00:00,44.7,28.4,27,978.8,4.6,101,0.0,5,3,2,36.6,12.0,12.0,63.8,40.8,27.0,19.866666666666664,25.575,47.23333333333333
2026-02-26 06:00:00,46.0,30.0,25,978.2,6.2,128,0.0,6,3,2,44.7,12.0,28.6,55.5,25.4,12.0,25.316666666666666,23.983333333333334,47.395833333333336
2026-02-26 07:00:00,79.1,31.3,23,977.0,3.3,151,0.0,7,3,2,46.0,36.6,18.0,22.6,61.5,86.3,28.21666666666667,23.191666666666666,48.25416666666666
2026-02-26 08:00:00,72.0,31.7,23,975.9,2.2,294,0.0,8,3,2,79.1,44.7,12.0,15.6,68.3,64.3,38.4,27.899999999999995,48.987500000000004
2026-02-26 09:00:00,71.6,32.1,21,974.9,6.3,309,0.0,9,3,2,72.0,46.0,12.0,12.0,103.4,59.5,48.4,32.6,49.14166666666667
2026-02-26 10:00:00,70.7,32.4,20,974.3,5.6,292,0.0,10,3,2,71.6,79.1,36.6,18.2,72.5,67.4,58.333333333333336,37.56666666666667,47.81666666666666
2026-02-26 11:00:00,67.8,32.3,20,973.8,7.1,240,0.0,11,3,2,70.7,72.0,44.7,12.0,111.3,80.7,64.01666666666667,41.94166666666666,47.74166666666667
2026-02-26 12:00:00,102.3,31.4,21,973.5,3.6,186,0.0,12,3,2,67.8,71.6,46.0,28.6,104.8,81.7,67.86666666666666,46.59166666666666,45.92916666666667
2026-02-26 13:00:00,51.7,29.0,26,973.2,13.6,172,0.0,13,3,2,102.3,70.7,79.1,18.0,61.5,70.1,77.25,52.73333333333333,45.824999999999996
2026-02-26 14:00:00,52.2,28.0,28,973.7,9.9,179,0.0,14,3,2,51.7,67.8,72.0,12.0,65.7,72.0,72.68333333333332,55.541666666666664,45.416666666666664
2026-02-26 15:00:00,88.2,26.9,32,974.4,4.5,209,0.0,15,3,2,52.2,102.3,71.6,12.0,43.6,69.7,69.38333333333334,58.89166666666666,44.854166666666664
2026-02-26 16:00:00,26.9,26.2,34,974.9,8.5,339,0.0,16,3,2,88.2,51.7,70.7,36.6,67.9,20.6,72.14999999999999,65.24166666666666,46.712500000000006
2026-02-26 17:00:00,33.6,26.2,33,974.6,8.5,336,0.0,17,3,2,26.9,52.2,67.8,44.7,63.8,66.7,64.85000000000001,64.43333333333334,45.00416666666666
2026-02-26 18:00:00,40.2,25.5,35,974.4,7.9,11,0.0,18,3,2,33.6,88.2,102.3,46.0,55.5,76.6,59.15,63.50833333333333,43.74583333333334
2026-02-26 19:00:00,43.6,24.2,35,974.0,3.5,9,0.0,19,3,2,40.2,26.9,51.7,79.1,22.6,37.8,48.800000000000004,63.025,43.10833333333333
2026-02-26 20:00:00,18.7,23.2,37,973.7,5.5,337,0.0,20,3,2,43.6,33.6,52.2,72.0,15.6,39.6,47.449999999999996,60.06666666666666,43.98333333333333
2026-02-26 21:00:00,26.7,22.8,37,973.0,6.1,19,0.0,21,3,2,18.7,40.2,88.2,71.6,12.0,18.2,41.86666666666667,55.625,44.112500000000004
2026-02-26 22:00:00,20.1,22.1,39,972.7,4.4,21,0.0,22,3,2,26.7,43.6,26.9,70.7,18.2,12.0,31.616666666666664,51.88333333333333,44.725
2026-02-26 23:00:00,12.0,21.6,40,972.8,5.8,16,0.0,23,3,2,20.1,18.7,33.6,67.8,12.0,20.4,30.483333333333334,47.666666666666664,44.80416666666667
2026-02-27 00:00:00,27.3,20.9,46,973.1,4.0,18,0.0,0,4,2,12.0,26.7,40.2,102.3,28.6,17.3,26.883333333333336,43.01666666666667,44.80416666666667
2026-02-27 01:00:00,12.0,20.8,46,974.0,4.9,17,0.0,1,4,2,27.3,20.1,43.6,51.7,18.0,12.0,24.733333333333334,36.766666666666666,44.75
2026-02-27 02:00:00,12.0,21.2,45,975.1,6.1,360,0.0,2,4,2,12.0,12.0,18.7,52.2,12.0,28.6,19.46666666666667,33.458333333333336,44.5
2026-02-27 03:00:00,46.1,23.6,38,976.5,3.2,27,0.0,3,4,2,12.0,27.3,26.7,88.2,12.0,19.1,18.35,30.108333333333334,44.5
2026-02-27 04:00:00,37.5,26.6,31,977.3,1.4,40,0.0,4,4,2,46.1,12.0,20.1,26.9,36.6,12.0,21.583333333333332,26.600000000000005,45.92083333333333
2026-02-27 05:00:00,58.7,28.3,28,977.1,1.9,202,0.0,5,4,2,37.5,12.0,12.0,33.6,44.7,40.8,24.483333333333334,27.483333333333334,45.958333333333336
2026-02-27 06:00:00,56.3,29.9,28,976.6,3.6,174,0.0,6,4,2,58.7,46.1,27.3,40.2,46.0,25.4,32.26666666666667,29.575000000000003,46.541666666666664
2026-02-27 07:00:00,54.4,31.6,27,975.6,4.9,197,0.0,7,4,2,56.3,37.5,12.0,43.6,79.1,61.5,37.1,30.916666666666668,46.97083333333333
2026-02-27 08:00:00,78.6,32.7,25,974.4,6.1,227,0.0,8,4,2,54.4,58.7,12.0,18.7,72.0,68.3,44.166666666666664,31.816666666666666,45.94166666666667
