timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rainfall
2026-02-24 00:00:00,20.0,55,946.7,1.1,351,0.0
2026-02-24 01:00:00,19.2,58,947.3,1.6,354,0.0
2026-02-24 02:00:00,19.2,57,948.4,3.4,16,0.0
2026-02-24 03:00:00,21.1,50,949.6,3.2,56,0.0
2026-02-24 04:00:00,24.5,42,950.4,4.3,66,0.0
2026-02-24 05:00:00,28.0,38,950.8,6.5,90,0.0
2026-02-24 06:00:00,30.0,29,950.6,9.6,106,0.0
2026-02-24 07:00:00,31.1,24,949.8,8.1,107,0.0
2026-02-24 08:00:00,32.3,21,948.8,6.2,102,0.0
2026-02-24 09:00:00,33.2,18,947.9,2.4,63,0.0
2026-02-24 10:00:00,32.7,17,947.3,2.6,309,0.0
2026-02-24 11:00:00,32.2,17,947.3,6.8,299,0.0
2026-02-24 12:00:00,31.9,18,946.9,2.7,233,0.0
2026-02-24 13:00:00,31.3,18,947.5,0.7,360,0.0
2026-02-24 14:00:00,28.7,26,948.5,7.7,294,0.0
2026-02-24 15:00:00,26.8,42,949.3,8.8,289,0.0
2026-02-24 16:00:00,25.6,48,949.8,10.1,268,0.0
2026-02-24 17:00:00,24.6,51,949.9,7.5,250,0.0
2026-02-24 18:00:00,24.0,55,949.9,6.9,247,0.0
2026-02-24 19:00:00,23.3,57,949.4,5.4,250,0.0
2026-02-24 20:00:00,22.5,58,948.8,5.9,230,0.0
2026-02-24 21:00:00,22.1,58,948.6,5.5,238,0.0
2026-02-24 22:00:00,21.8,55,948.1,5.7,233,0.0
2026-02-24 23:00:00,21.3,53,948.0,6.2,240,0.0
2026-02-25 00:00:00,20.7,57,948.6,4.7,227,0.0
2026-02-25 01:00:00,20.4,55,949.1,5.1,253,0.0
2026-02-25 02:00:00,20.5,56,950.0,0.4,153,0.0
2026-02-25 03:00:00,22.7,47,951.4,2.1,70,0.0
2026-02-25 04:00:00,26.2,34,952.3,2.2,305,0.0
2026-02-25 05:00:00,29.0,26,952.6,4.7,332,0.0
2026-02-25 06:00:00,30.2,23,952.2,3.1,306,0.0
2026-02-25 07:00:00,32.2,19,951.4,7.7,267,0.0
2026-02-25 08:00:00,32.7,17,950.4,9.5,260,0.0
2026-02-25 09:00:00,33.4,15,949.0,8.6,269,0.0
2026-02-25 10:00:00,33.2,15,948.5,12.3,265,0.0
2026-02-25 11:00:00,31.7,18,948.7,15.9,254,0.0
2026-02-25 12:00:00,30.8,21,948.8,15.5,262,0.0
2026-02-25 13:00:00,28.6,31,949.2,17.7,282,0.0
2026-02-25 14:00:00,26.2,40,950.0,15.7,271,0.0
2026-02-25 15:00:00,25.1,42,950.7,13.5,268,0.0
2026-02-25 16:00:00,24.3,43,951.2,11.7,268,0.0
2026-02-25 17:00:00,23.4,46,951.4,9.2,267,0.0
2026-02-25 18:00:00,22.7,49,951.2,6.7,264,0.0
2026-02-25 19:00:00,22.1,51,950.8,6.5,256,0.0
2026-02-25 20:00:00,21.4,54,950.3,7.5,255,0.0
2026-02-25 21:00:00,20.8,56,949.6,5.8,254,0.0
2026-02-25 22:00:00,20.3,59,949.2,6.3,252,0.0
2026-02-25 23:00:00,19.8,62,949.1,3.9,248,0.0
2026-02-26 00:00:00,19.5,62,949.2,4.5,247,0.0
2026-02-26 01:00:00,19.0,64,949.6,2.8,235,0.0
2026-02-26 02:00:00,19.5,62,950.4,4.3,237,0.0
2026-02-26 03:00:00,22.1,51,951.4,3.7,256,0.0
2026-02-26 04:00:00,25.4,36,952.3,4.4,291,0.0
2026-02-26 05:00:00,27.9,26,952.1,6.6,303,0.0
2026-02-26 06:00:00,29.2,21,951.6,5.6,297,0.0
2026-02-26 07:00:00,31.0,18,950.7,6.6,283,0.0
2026-02-26 08:00:00,31.8,18,949.6,8.7,278,0.0
2026-02-26 09:00:00,31.9,19,948.6,11.1,287,0.0
2026-02-26 10:00:00,31.5,22,948.0,13.7,297,0.0
2026-02-26 11:00:00,30.9,24,947.7,13.8,296,0.0
2026-02-26 12:00:00,29.7,25,947.5,14.9,285,0.0
2026-02-26 13:00:00,28.0,30,947.8,14.6,284,0.0
2026-02-26 14:00:00,26.2,39,948.3,14.5,281,0.0
2026-02-26 15:00:00,24.7,47,948.9,11.6,265,0.0
2026-02-26 16:00:00,23.3,56,949.5,10.3,248,0.0
2026-02-26 17:00:00,22.1,66,949.0,10.7,258,0.0
2026-02-26 18:00:00,21.0,75,949.0,9.5,256,0.0
2026-02-26 19:00:00,20.4,79,948.1,9.9,251,0.0
2026-02-26 20:00:00,19.9,78,947.6,10.1,254,0.0
2026-02-26 21:00:00,19.4,74,946.9,9.3,255,0.0
2026-02-26 22:00:00,18.9,72,946.5,7.9,257,0.0
2026-02-26 23:00:00,18.4,69,946.4,7.2,252,0.0
2026-02-27 00:00:00,18.3,68,946.8,7.6,256,0.0
2026-02-27 01:00:00,18.1,66,947.3,6.7,264,0.0
2026-02-27 02:00:00,18.2,64,948.1,7.6,256,0.0
2026-02-27 03:00:00,20.5,53,949.4,6.7,268,0.0
2026-02-27 04:00:00,23.4,42,950.1,8.5,282,0.0
2026-02-27 05:00:00,26.3,35,950.4,9.9,286,0.0
2026-02-27 06:00:00,28.5,28,950.1,13.3,283,0.0
2026-02-27 07:00:00,30.2,23,949.1,14.4,278,0.0
2026-02-27 08:00:00,31.1,21,948.2,14.8,269,0.0
2026-02-27 09:00:00,31.2,21,947.3,15.9,264,0.0
2026-02-27 10:00:00,30.9,22,946.6,15.7,268,0.0
2026-02-27 11:00:00,30.0,24,946.4,15.5,269,0.0
2026-02-27 12:00:00,28.7,25,946.3,14.6,273,0.0
2026-02-27 13:00:00,26.9,27,946.6,14.8,280,0.0
2026-02-27 14:00:00,25.0,33,947.1,14.0,282,0.0
2026-02-27 15:00:00,23.6,40,947.6,11.2,276,0.0
2026-02-27 16:00:00,22.4,45,948.0,9.1,263,0.0
2026-02-27 17:00:00,21.3,51,947.7,8.3,269,0.0
2026-02-27 18:00:00,20.4,56,947.2,8.9,262,0.0
2026-02-27 19:00:00,19.8,60,947.0,7.1,260,0.0
2026-02-27 20:00:00,19.1,61,946.5,5.6,263,0.0
2026-02-27 21:00:00,18.5,63,946.0,4.5,272,0.0
2026-02-27 22:00:00,18.0,63,945.6,6.1,275,0.0
2026-02-27 23:00:00,17.4,63,945.4,6.7,273,0.0
2026-02-28 00:00:00,16.9,73,945.4,6.5,267,0.0
2026-02-28 01:00:00,16.8,74,945.8,6.5,256,0.0
2026-02-28 02:00:00,17.2,73,946.7,7.0,249,0.0
2026-02-28 03:00:00,19.7,62,948.3,3.8,265,0.0
2026-02-28 04:00:00,22.5,47,949.2,5.6,292,0.0
2026-02-28 05:00:00,25.0,39,949.5,6.3,294,0.0
2026-02-28 06:00:00,27.2,31,949.2,8.5,274,0.0
2026-02-28 07:00:00,29.7,21,948.4,9.6,264,0.0
2026-02-28 08:00:00,30.9,18,947.5,10.9,251,0.0
2026-02-28 09:00:00,31.4,19,946.8,12.8,244,0.0
2026-02-28 10:00:00,31.2,21,946.3,13.4,246,0.0
2026-02-28 11:00:00,30.3,24,946.1,14.1,249,0.0
