timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,12.0,3.1,82,778.3,4.9,57,0.0,0,3,2,18.5,12.0,46.3,47.3,12.0,12.0,22.8,38.333333333333336,34.96666666666667
2026-02-26 01:00:00,20.9,2.6,80,777.7,4.4,69,0.0,1,3,2,12.0,12.0,28.0,49.9,24.9,29.0,17.083333333333332,35.391666666666666,34.96666666666667
2026-02-26 02:00:00,12.0,3.9,77,778.8,4.5,67,0.0,2,3,2,20.9,18.5,20.0,52.2,22.6,15.3,15.899999999999999,32.975,34.800000000000004
2026-02-26 03:00:00,19.4,8.4,57,782.3,8.0,6,0.0,3,3,2,12.0,12.0,12.0,63.0,41.1,26.2,14.566666666666668,29.625,34.358333333333334
2026-02-26 04:00:00,12.0,10.2,47,783.6,11.7,337,0.0,4,3,2,19.4,20.9,12.0,56.9,38.4,43.3,15.800000000000002,25.991666666666664,33.454166666666666
2026-02-26 05:00:00,12.0,11.5,41,784.2,15.4,328,0.0,5,3,2,12.0,12.0,18.5,53.9,53.4,36.0,15.800000000000002,22.25,32.354166666666664
2026-02-26 06:00:00,12.0,12.2,38,784.4,15.7,312,0.0,6,3,2,12.0,19.4,12.0,46.3,12.0,30.8,14.716666666666669,18.758333333333333,30.629166666666666
2026-02-26 07:00:00,27.9,13.6,32,784.6,17.1,307,0.0,7,3,2,12.0,12.0,20.9,28.0,14.7,23.1,14.716666666666669,15.899999999999999,30.629166666666666
2026-02-26 08:00:00,35.7,13.6,38,784.0,17.7,308,0.0,8,3,2,27.9,12.0,12.0,20.0,19.4,33.7,15.883333333333333,15.891666666666666,31.179166666666664
2026-02-26 09:00:00,18.4,13.5,37,783.4,18.0,307,0.0,9,3,2,35.7,12.0,19.4,12.0,55.5,43.6,19.833333333333332,17.2,31.858333333333334
2026-02-26 10:00:00,27.5,12.8,41,782.7,18.1,307,0.0,10,3,2,18.4,27.9,12.0,12.0,38.6,51.9,19.666666666666668,17.73333333333333,30.3125
2026-02-26 11:00:00,41.5,11.9,44,781.9,17.0,312,0.0,11,3,2,27.5,35.7,12.0,18.5,46.6,59.6,22.25,19.025,29.849999999999998
2026-02-26 12:00:00,50.1,10.9,42,780.9,14.6,308,0.0,12,3,2,41.5,18.4,12.0,12.0,47.3,63.2,27.166666666666668,20.941666666666666,29.6375
2026-02-26 13:00:00,46.1,7.8,48,779.1,9.3,304,0.0,13,3,2,50.1,27.5,27.9,20.9,49.9,59.6,33.516666666666666,24.116666666666664,29.754166666666666
2026-02-26 14:00:00,71.4,6.7,56,779.1,8.0,304,0.0,14,3,2,46.1,41.5,35.7,12.0,52.2,73.4,36.55,26.21666666666667,29.595833333333335
2026-02-26 15:00:00,44.7,6.1,62,779.2,7.0,314,0.0,15,3,2,71.4,50.1,18.4,19.4,63.0,56.2,42.5,31.166666666666668,30.395833333333332
2026-02-26 16:00:00,59.7,5.4,68,779.1,2.2,346,0.0,16,3,2,44.7,46.1,27.5,12.0,56.9,75.3,46.88333333333333,33.275,29.633333333333336
2026-02-26 17:00:00,44.3,4.8,71,778.6,2.2,76,0.0,17,3,2,59.7,71.4,41.5,12.0,53.9,54.1,52.25,37.25,29.75
2026-02-26 18:00:00,30.7,4.2,77,778.0,2.2,76,0.0,18,3,2,44.3,44.7,50.1,12.0,46.3,50.8,52.71666666666667,39.94166666666667,29.350000000000005
2026-02-26 19:00:00,41.4,3.2,78,777.1,2.2,95,0.0,19,3,2,30.7,59.7,46.1,27.9,28.0,37.7,49.48333333333334,41.5,28.7
2026-02-26 20:00:00,28.4,3.0,76,776.7,2.9,90,0.0,20,3,2,41.4,44.3,71.4,35.7,20.0,39.1,48.699999999999996,42.625,29.25833333333333
2026-02-26 21:00:00,12.0,2.8,73,776.1,3.4,87,0.0,21,3,2,28.4,30.7,44.7,18.4,12.0,27.7,41.53333333333333,42.01666666666667,29.608333333333334
2026-02-26 22:00:00,16.3,2.5,72,775.5,3.8,87,0.0,22,3,2,12.0,41.4,59.7,27.5,12.0,12.0,36.083333333333336,41.483333333333334,29.608333333333334
2026-02-26 23:00:00,30.6,2.0,71,774.7,3.6,90,0.0,23,3,2,16.3,28.4,44.3,41.5,18.5,29.9,28.849999999999998,40.55,29.787499999999998
2026-02-27 00:00:00,15.7,1.5,76,774.6,5.2,78,0.0,0,4,2,30.6,12.0,30.7,50.1,12.0,12.0,26.566666666666666,39.641666666666666,30.291666666666668
2026-02-27 01:00:00,25.5,1.8,71,774.8,3.1,90,0.0,1,4,2,15.7,16.3,41.4,46.1,20.9,24.9,24.066666666666663,36.775,30.44583333333333
2026-02-27 02:00:00,32.5,3.2,64,776.4,2.9,90,0.0,2,4,2,25.5,30.6,28.4,71.4,12.0,22.6,21.416666666666668,35.05833333333333,30.6375
2026-02-27 03:00:00,38.8,8.6,51,780.8,4.5,53,0.0,3,4,2,32.5,15.7,12.0,44.7,19.4,41.1,22.099999999999998,31.816666666666663,31.491666666666664
2026-02-27 04:00:00,12.0,10.9,38,782.8,9.3,336,0.0,4,4,2,38.8,25.5,16.3,59.7,12.0,38.4,26.566666666666663,31.325,32.300000000000004
2026-02-27 05:00:00,12.0,11.9,33,783.4,12.6,324,0.0,5,4,2,12.0,32.5,30.6,44.3,12.0,53.4,25.850000000000005,27.349999999999998,32.300000000000004
2026-02-27 06:00:00,12.0,12.6,33,783.6,12.8,308,0.0,6,4,2,12.0,38.8,15.7,30.7,12.0,12.0,22.75,24.65833333333333,32.300000000000004
2026-02-27 07:00:00,14.3,14.1,25,784.0,14.8,300,0.0,7,4,2,12.0,12.0,25.5,41.4,27.9,14.7,22.133333333333336,23.099999999999998,32.300000000000004
2026-02-27 08:00:00,28.6,14.2,22,783.4,17.0,298,0.0,8,4,2,14.3,12.0,32.5,28.4,35.7,19.4,20.266666666666666,20.84166666666667,31.733333333333334
2026-02-27 09:00:00,33.4,13.7,27,782.6,16.8,301,0.0,9,4,2,28.6,12.0,38.8,12.0,18.4,55.5,19.616666666666667,20.858333333333334,31.4375
2026-02-27 10:00:00,47.8,13.2,30,782.2,16.0,303,0.0,10,4,2,33.4,14.3,12.0,16.3,27.5,38.6,18.716666666666665,22.641666666666666,32.0625
2026-02-27 11:00:00,28.4,12.5,28,781.4,15.7,308,0.0,11,4,2,47.8,28.6,12.0,30.6,41.5,46.6,24.683333333333334,25.266666666666666,32.90833333333333
2026-02-27 12:00:00,55.9,11.1,34,780.5,12.7,305,0.0,12,4,2,28.4,33.4,12.0,15.7,50.1,47.3,27.416666666666668,25.08333333333333,32.362500000000004
2026-02-27 13:00:00,63.7,7.4,49,778.4,6.6,317,0.0,13,4,2,55.9,47.8,14.3,25.5,46.1,49.9,34.73333333333333,28.433333333333334,32.604166666666664
2026-02-27 14:00:00,45.9,6.4,53,778.3,6.3,309,0.0,14,4,2,63.7,28.4,28.6,32.5,71.4,52.2,42.96666666666666,31.616666666666664,33.3375
2026-02-27 15:00:00,46.6,5.9,62,778.4,6.0,316,0.0,15,4,2,45.9,55.9,33.4,38.8,44.7,63.0,45.849999999999994,32.73333333333333,32.275
2026-02-27 16:00:00,67.5,6.0,65,778.9,2.3,51,0.0,16,4,2,46.6,63.7,47.8,12.0,59.7,56.9,48.050000000000004,33.38333333333333,32.354166666666664
2026-02-27 17:00:00,55.1,5.0,66,778.0,4.0,93,0.0,17,4,2,67.5,45.9,28.4,12.0,44.3,53.9,51.333333333333336,38.00833333333333,32.67916666666667
2026-02-27 18:00:00,32.2,3.9,75,777.3,4.0,82,0.0,18,4,2,55.1,46.6,55.9,12.0,30.7,46.3,55.78333333333334,41.6,33.12916666666666
2026-02-27 19:00:00,27.8,4.0,66,777.2,2.9,94,0.0,19,4,2,32.2,67.5,63.7,14.3,41.4,28.0,51.833333333333336,43.28333333333333,33.19166666666667
2026-02-27 20:00:00,20.8,4.1,60,777.1,4.5,88,0.0,20,4,2,27.8,55.1,45.9,28.6,28.4,20.0,45.85,44.40833333333333,32.625
2026-02-27 21:00:00,13.9,4.2,55,776.6,6.8,79,0.0,21,4,2,20.8,32.2,46.6,33.4,12.0,12.0,41.666666666666664,43.75833333333333,32.30833333333333
2026-02-27 22:00:00,12.0,3.5,57,775.8,5.4,86,0.0,22,4,2,13.9,27.8,67.5,47.8,16.3,12.0,36.21666666666667,42.13333333333333,32.387499999999996
2026-02-27 23:00:00,12.0,2.9,59,775.1,4.5,85,0.0,23,4,2,12.0,20.8,55.1,28.4,30.6,18.5,26.96666666666667,39.15,32.208333333333336
2026-02-28 00:00:00,20.0,2.2,59,774.7,6.0,74,0.0,0,5,2,12.0,13.9,32.2,55.9,15.7,12.0,19.783333333333335,37.78333333333334,31.433333333333334
