timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,26.4,21.1,84,1009.4,3.4,177,0.0,0,3,2,31.4,13.1,16.3,41.8,13.9,26.9,31.783333333333335,37.99166666666667,37.63333333333333
2026-02-26 01:00:00,28.4,20.9,87,1009.6,4.1,178,0.0,1,3,2,26.4,37.1,46.2,70.7,12.0,20.4,33.46666666666667,36.708333333333336,38.15416666666666
2026-02-26 02:00:00,42.8,20.7,89,1010.4,5.6,173,0.0,2,3,2,28.4,31.4,46.6,45.8,16.0,12.0,30.5,33.18333333333333,38.8375
2026-02-26 03:00:00,27.6,23.6,76,1011.1,3.1,152,0.0,3,3,2,42.8,26.4,13.1,27.6,43.2,18.6,29.866666666666664,32.93333333333333,39.954166666666666
2026-02-26 04:00:00,44.6,26.6,57,1011.5,3.5,208,0.0,4,3,2,27.6,28.4,37.1,27.0,33.4,54.2,32.28333333333333,32.93333333333334,39.30416666666667
2026-02-26 05:00:00,37.9,28.8,46,1011.4,4.9,231,0.0,5,3,2,44.6,42.8,31.4,52.3,49.3,34.7,33.53333333333333,34.4,39.770833333333336
2026-02-26 06:00:00,25.0,29.9,44,1010.9,8.6,234,0.0,6,3,2,37.9,27.6,26.4,16.3,52.7,64.4,34.61666666666667,33.2,39.295833333333334
2026-02-26 07:00:00,24.2,30.8,42,1010.1,10.9,239,0.0,7,3,2,25.0,44.6,28.4,46.2,23.6,74.9,34.38333333333333,33.925000000000004,38.14166666666667
2026-02-26 08:00:00,57.6,30.7,40,1009.2,12.3,243,0.0,8,3,2,24.2,37.9,42.8,46.6,43.1,63.4,33.68333333333333,32.09166666666667,38.166666666666664
2026-02-26 09:00:00,61.1,30.6,36,1008.2,12.5,245,0.0,9,3,2,57.6,25.0,27.6,13.1,47.2,53.0,36.15,33.00833333333333,38.770833333333336
2026-02-26 10:00:00,27.6,30.1,35,1007.7,12.0,244,0.0,10,3,2,61.1,24.2,44.6,37.1,57.2,29.7,41.733333333333334,37.00833333333333,39.35
2026-02-26 11:00:00,65.8,29.3,35,1007.5,11.7,241,0.0,11,3,2,27.6,57.6,37.9,31.4,55.7,47.6,38.900000000000006,36.21666666666667,38.11666666666667
2026-02-26 12:00:00,51.3,28.1,35,1006.9,11.5,238,0.0,12,3,2,65.8,61.1,25.0,26.4,41.8,61.4,43.550000000000004,39.083333333333336,38.5375
2026-02-26 13:00:00,47.7,26.3,44,1007.1,10.3,235,0.0,13,3,2,51.3,27.6,24.2,28.4,70.7,73.7,47.93333333333334,41.15833333333333,38.93333333333334
2026-02-26 14:00:00,48.1,24.7,61,1007.3,10.4,236,0.0,14,3,2,47.7,65.8,57.6,42.8,45.8,50.2,51.85,42.76666666666667,37.975
2026-02-26 15:00:00,53.9,23.9,70,1007.9,13.2,241,0.0,15,3,2,48.1,51.3,61.1,27.6,27.6,70.4,50.26666666666667,43.208333333333336,38.07083333333333
2026-02-26 16:00:00,46.4,23.5,77,1008.5,11.5,236,0.0,16,3,2,53.9,47.7,27.6,44.6,27.0,52.5,49.06666666666666,45.4,39.166666666666664
2026-02-26 17:00:00,45.4,23.4,80,1008.6,9.0,217,0.0,17,3,2,46.4,48.1,65.8,37.9,52.3,50.1,52.199999999999996,45.550000000000004,39.975
2026-02-26 18:00:00,17.1,23.2,79,1008.8,9.9,215,0.0,18,3,2,45.4,53.9,51.3,25.0,16.3,26.9,48.800000000000004,46.175000000000004,39.6875
2026-02-26 19:00:00,25.9,23.0,78,1008.2,10.2,221,0.0,19,3,2,17.1,46.4,47.7,24.2,46.2,22.5,43.099999999999994,45.51666666666666,39.72083333333333
2026-02-26 20:00:00,44.9,22.7,77,1008.1,9.5,219,0.0,20,3,2,25.9,45.4,48.1,57.6,46.6,31.0,39.46666666666667,45.65833333333334,38.875
2026-02-26 21:00:00,12.0,22.5,75,1007.7,8.5,216,0.0,21,3,2,44.9,17.1,53.9,61.1,13.1,41.2,38.93333333333333,44.6,38.80416666666667
2026-02-26 22:00:00,13.3,22.2,76,1007.5,8.4,223,0.0,22,3,2,12.0,25.9,46.4,27.6,37.1,19.3,31.95,40.50833333333333,38.75833333333333
2026-02-26 23:00:00,12.1,22.1,77,1007.5,8.2,234,0.0,23,3,2,13.3,44.9,45.4,65.8,31.4,12.0,26.433333333333334,39.31666666666666,37.766666666666666
2026-02-27 00:00:00,13.7,22.4,78,1007.6,9.5,249,0.0,0,4,2,12.1,12.0,17.1,51.3,26.4,13.9,20.883333333333333,34.84166666666667,36.9625
2026-02-27 01:00:00,12.0,22.5,75,1008.3,8.5,253,0.0,1,4,2,13.7,13.3,25.9,47.7,28.4,12.0,20.316666666666666,31.708333333333332,36.43333333333334
2026-02-27 02:00:00,12.0,22.6,74,1009.0,7.7,254,0.0,2,4,2,12.0,12.1,44.9,48.1,42.8,16.0,18.0,28.73333333333333,35.75
2026-02-27 03:00:00,14.1,24.5,64,1009.9,9.7,251,0.0,3,4,2,12.0,13.7,12.0,53.9,27.6,43.2,12.516666666666666,25.724999999999998,34.46666666666667
2026-02-27 04:00:00,12.0,26.0,56,1010.2,10.9,248,0.0,4,4,2,14.1,12.0,13.3,46.4,44.6,33.4,12.866666666666667,22.40833333333333,33.90416666666666
2026-02-27 05:00:00,30.8,27.2,52,1010.2,11.6,244,0.0,5,4,2,12.0,12.0,12.1,45.4,37.9,49.3,12.65,19.541666666666668,32.54583333333333
2026-02-27 06:00:00,23.0,28.2,48,1009.8,12.0,234,0.0,6,4,2,30.8,14.1,13.7,17.1,25.0,52.7,15.766666666666666,18.325,32.25
2026-02-27 07:00:00,31.3,29.1,45,1008.9,12.8,241,0.0,7,4,2,23.0,12.0,12.0,25.9,24.2,23.6,17.316666666666666,18.816666666666666,32.166666666666664
2026-02-27 08:00:00,31.0,29.1,43,1008.1,13.5,247,0.0,8,4,2,31.3,30.8,12.0,44.9,57.6,43.1,20.533333333333335,19.266666666666666,32.4625
2026-02-27 09:00:00,41.6,29.1,40,1007.2,13.5,247,0.0,9,4,2,31.0,23.0,14.1,12.0,61.1,47.2,23.7,18.108333333333334,31.354166666666668
2026-02-27 10:00:00,38.4,28.8,41,1006.4,12.6,243,0.0,10,4,2,41.6,31.3,12.0,13.3,27.6,57.2,28.28333333333333,20.575,30.541666666666668
2026-02-27 11:00:00,39.8,28.6,40,1006.1,11.6,231,0.0,11,4,2,38.4,31.0,30.8,12.1,65.8,55.7,32.68333333333333,22.666666666666668,30.991666666666664
2026-02-27 12:00:00,56.6,27.1,47,1005.8,11.7,209,0.0,12,4,2,39.8,41.6,23.0,13.7,51.3,41.8,34.18333333333333,24.974999999999998,29.908333333333335
2026-02-27 13:00:00,67.5,26.0,50,1005.9,10.8,204,0.0,13,4,2,56.6,38.4,31.3,12.0,47.7,70.7,39.78333333333333,28.549999999999997,30.129166666666663
2026-02-27 14:00:00,68.6,25.2,54,1006.4,8.2,206,0.0,14,4,2,67.5,39.8,31.0,12.0,48.1,45.8,45.81666666666666,33.175,30.954166666666666
2026-02-27 15:00:00,77.4,24.5,57,1007.0,5.9,220,0.0,15,4,2,68.6,56.6,41.6,14.1,53.9,27.6,52.083333333333336,37.891666666666666,31.808333333333334
2026-02-27 16:00:00,61.7,24.0,61,1007.5,5.6,207,0.0,16,4,2,77.4,67.5,38.4,12.0,46.4,27.0,58.04999999999999,43.166666666666664,32.7875
2026-02-27 17:00:00,31.5,23.6,65,1007.4,8.8,199,0.0,17,4,2,61.7,68.6,39.8,30.8,45.4,52.3,61.93333333333334,47.30833333333334,33.425000000000004
2026-02-27 18:00:00,63.9,23.4,68,1007.3,7.8,214,0.0,18,4,2,31.5,77.4,56.6,23.0,17.1,16.3,60.550000000000004,47.36666666666667,32.84583333333333
2026-02-27 19:00:00,37.1,23.2,69,1007.3,7.8,224,0.0,19,4,2,63.9,61.7,67.5,31.3,25.9,46.2,61.76666666666667,50.775,34.795833333333334
2026-02-27 20:00:00,14.3,23.1,72,1006.9,8.1,235,0.0,20,4,2,37.1,31.5,68.6,31.0,44.9,46.6,56.70000000000001,51.25833333333333,35.262499999999996
2026-02-27 21:00:00,33.4,22.9,73,1006.5,8.1,231,0.0,21,4,2,14.3,63.9,77.4,41.6,12.0,13.1,47.650000000000006,49.86666666666667,33.9875
2026-02-27 22:00:00,12.1,22.8,72,1006.2,8.3,237,0.0,22,4,2,33.4,37.1,61.7,38.4,13.3,37.1,40.31666666666667,49.18333333333333,34.87916666666667
2026-02-27 23:00:00,15.3,22.6,75,1005.9,8.9,245,0.0,23,4,2,12.1,14.3,31.5,39.8,12.1,31.4,32.05,46.99166666666667,34.829166666666666
2026-02-28 00:00:00,12.0,22.5,78,1005.8,9.4,257,0.0,0,5,2,15.3,33.4,63.9,56.6,13.7,26.4,29.350000000000005,44.95000000000001,34.9625
2026-02-28 01:00:00,12.0,22.4,72,1006.5,8.5,275,0.0,1,5,2,12.0,12.1,37.1,67.5,12.0,28.4,20.700000000000003,41.233333333333334,34.891666666666666
2026-02-28 02:00:00,12.5,22.1,70,1007.4,6.3,294,0.0,2,5,2,12.0,15.3,14.3,68.6,12.0,42.8,16.51666666666667,36.608333333333334,34.891666666666666
2026-02-28 03:00:00,26.2,23.9,60,1008.6,4.1,308,0.0,3,5,2,12.5,12.0,33.4,77.4,14.1,27.6,16.21666666666667,31.933333333333334,34.9125
2026-02-28 04:00:00,51.4,25.8,51,1009.3,5.0,319,0.0,4,5,2,26.2,12.0,12.1,61.7,12.0,44.6,15.016666666666666,27.666666666666668,35.416666666666664
2026-02-28 05:00:00,35.6,27.5,46,1009.5,6.7,324,0.0,5,5,2,51.4,12.5,15.3,31.5,30.8,37.9,21.566666666666666,26.808333333333334,37.05833333333334
2026-02-28 06:00:00,43.2,28.9,44,1009.0,7.4,326,0.0,6,5,2,35.6,26.2,12.0,63.9,23.0,25.0,24.95,27.150000000000002,37.25833333333333
2026-02-28 07:00:00,27.3,30.8,38,1008.1,8.3,319,0.0,7,5,2,43.2,51.4,12.0,37.1,31.3,24.2,30.150000000000002,25.425,38.1
2026-02-28 08:00:00,45.8,31.7,34,1006.9,10.1,314,0.0,8,5,2,27.3,35.6,12.5,14.3,31.0,57.6,32.699999999999996,24.60833333333333,37.93333333333333
2026-02-28 09:00:00,42.4,31.7,32,1006.0,11.1,316,0.0,9,5,2,45.8,43.2,26.2,33.4,41.6,61.1,38.25,27.233333333333334,38.550000000000004
2026-02-28 10:00:00,70.8,31.4,31,1005.7,12.1,316,0.0,10,5,2,42.4,27.3,51.4,12.1,38.4,27.6,40.95,27.983333333333334,38.583333333333336
2026-02-28 11:00:00,56.6,31.0,29,1005.6,11.3,312,0.0,11,5,2,70.8,45.8,35.6,15.3,39.8,65.8,44.18333333333334,32.875,39.93333333333334
2026-02-28 12:00:00,74.6,30.3,30,1005.5,10.7,325,0.0,12,5,2,56.6,42.4,43.2,12.0,56.6,51.3,47.68333333333334,36.31666666666667,40.63333333333333
2026-02-28 13:00:00,56.9,28.9,31,1006.0,8.2,306,0.0,13,5,2,74.6,70.8,27.3,12.0,67.5,47.7,52.916666666666664,41.53333333333333,41.38333333333333
2026-02-28 14:00:00,61.9,26.2,50,1006.8,9.1,263,0.0,14,5,2,56.9,56.6,45.8,12.5,68.6,48.1,57.849999999999994,45.275,40.94166666666667
2026-02-28 15:00:00,49.2,24.7,67,1007.5,8.4,251,0.0,15,5,2,61.9,74.6,42.4,26.2,77.4,53.9,60.533333333333324,49.39166666666667,40.6625
2026-02-28 16:00:00,73.1,24.2,72,1008.2,8.9,256,0.0,16,5,2,49.2,56.9,70.8,51.4,61.7,46.4,61.666666666666664,51.30833333333333,39.487500000000004
2026-02-28 17:00:00,30.9,23.9,72,1008.3,8.1,249,0.0,17,5,2,73.1,61.9,56.6,35.6,31.5,45.4,62.050000000000004,53.11666666666667,39.9625
