timestamp,pm25,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,hour,day_of_week,month,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_rolling_mean_6,pm25_rolling_mean_12,pm25_rolling_mean_24
2026-02-26 00:00:00,12.0,16.8,69,1001.4,9.0,254,0.0,0,3,2,12.0,30.5,26.2,81.1,12.0,27.3,21.716666666666665,36.6,37.475
2026-02-26 01:00:00,12.0,16.9,68,1001.9,8.6,270,0.0,1,3,2,12.0,16.2,12.0,39.0,12.0,29.1,19.35,30.84166666666667,37.475
2026-02-26 02:00:00,12.0,17.7,65,1002.6,8.8,242,0.0,2,3,2,12.0,12.0,33.4,42.0,12.0,14.9,19.35,28.59166666666667,37.475
2026-02-26 03:00:00,12.0,20.4,56,1003.3,6.1,223,0.0,3,3,2,12.0,12.0,30.5,59.2,48.0,51.8,15.783333333333333,26.09166666666667,37.475
2026-02-26 04:00:00,19.8,23.4,46,1003.6,5.9,243,0.0,4,3,2,12.0,12.0,16.2,53.7,31.5,37.4,12.700000000000001,22.15833333333333,35.975
2026-02-26 05:00:00,28.5,26.2,38,1003.1,6.3,257,0.0,5,3,2,19.8,12.0,12.0,33.9,58.1,57.9,13.299999999999999,19.333333333333332,35.487500000000004
2026-02-26 06:00:00,32.0,27.8,30,1002.6,7.4,270,0.0,6,3,2,28.5,12.0,12.0,26.2,34.1,40.9,16.05,18.883333333333333,34.25416666666666
2026-02-26 07:00:00,39.5,29.4,25,1001.5,9.6,279,0.0,7,3,2,32.0,19.8,12.0,12.0,47.1,47.8,19.383333333333333,19.366666666666667,34.166666666666664
2026-02-26 08:00:00,36.2,30.0,23,1000.2,12.7,285,0.0,8,3,2,39.5,28.5,12.0,33.4,46.4,59.3,23.96666666666667,21.65833333333333,33.85
2026-02-26 09:00:00,57.9,30.1,22,999.3,13.1,288,0.0,9,3,2,36.2,32.0,12.0,30.5,55.5,69.6,28.0,21.891666666666666,33.425
2026-02-26 10:00:00,41.7,29.8,24,998.9,14.6,296,0.0,10,3,2,57.9,39.5,19.8,16.2,51.4,51.4,35.65,24.175,33.525
2026-02-26 11:00:00,51.6,29.1,23,998.5,13.3,291,0.0,11,3,2,41.7,36.2,28.5,12.0,52.1,58.0,39.300000000000004,26.3,33.12083333333333
2026-02-26 12:00:00,56.6,27.6,25,998.6,10.3,281,0.0,12,3,2,51.6,57.9,32.0,12.0,81.1,71.3,43.150000000000006,29.600000000000005,33.1
