timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rainfall
2026-02-24 00:00:00,16.7,89,1001.4,2.5,184,0.0
2026-02-24 01:00:00,16.1,93,1002.0,3.1,204,0.0
2026-02-24 02:00:00,17.4,87,1003.0,4.9,208,0.0
2026-02-24 03:00:00,21.0,67,1004.2,2.1,218,0.0
2026-02-24 04:00:00,24.7,47,1004.7,1.0,211,0.0
2026-02-24 05:00:00,26.8,36,1004.7,1.5,14,0.0
2026-02-24 06:00:00,27.5,33,1004.4,5.4,26,0.0
2026-02-24 07:00:00,28.6,29,1003.5,5.7,11,0.0
2026-02-24 08:00:00,29.1,26,1002.2,5.8,338,0.0
2026-02-24 09:00:00,29.3,24,1001.3,8.9,310,0.0
2026-02-24 10:00:00,28.8,25,1001.1,12.4,303,0.0
2026-02-24 11:00:00,28.0,27,1001.0,10.9,303,0.0
2026-02-24 12:00:00,26.9,30,1000.9,7.1,313,0.0
2026-02-24 13:00:00,25.4,35,1001.5,6.0,10,0.0
2026-02-24 14:00:00,24.4,42,1002.1,1.5,21,0.0
2026-02-24 15:00:00,23.6,42,1002.8,1.7,302,0.0
2026-02-24 16:00:00,22.2,45,1003.2,4.0,309,0.0
2026-02-24 17:00:00,20.7,52,1003.2,3.7,313,0.0
2026-02-24 18:00:00,20.2,58,1003.3,1.8,233,0.0
2026-02-24 19:00:00,19.0,63,1003.0,1.3,172,0.0
2026-02-24 20:00:00,18.5,65,1002.7,4.0,177,0.0
2026-02-24 21:00:00,18.0,68,1002.1,6.7,226,0.0
2026-02-24 22:00:00,17.4,71,1002.0,5.0,218,0.0
2026-02-24 23:00:00,17.0,73,1002.0,7.1,236,0.0
2026-02-25 00:00:00,17.0,75,1002.5,8.5,253,0.0
2026-02-25 01:00:00,16.9,74,1003.3,8.1,241,0.0
2026-02-25 02:00:00,17.7,70,1004.2,7.3,237,0.0
2026-02-25 03:00:00,20.5,60,1005.1,4.0,231,0.0
2026-02-25 04:00:00,23.7,48,1005.7,3.9,236,0.0
2026-02-25 05:00:00,26.5,39,1005.4,5.4,274,0.0
2026-02-25 06:00:00,28.0,33,1004.9,9.3,292,0.0
2026-02-25 07:00:00,29.1,30,1003.8,10.8,300,0.0
2026-02-25 08:00:00,29.5,28,1002.6,11.5,301,0.0
2026-02-25 09:00:00,29.6,26,1001.7,11.8,299,0.0
2026-02-25 10:00:00,29.4,25,1001.1,11.8,298,0.0
2026-02-25 11:00:00,28.7,27,1001.2,11.6,292,0.0
2026-02-25 12:00:00,27.4,31,1001.2,9.2,281,0.0
2026-02-25 13:00:00,25.7,35,1001.6,11.0,270,0.0
2026-02-25 14:00:00,24.7,31,1002.3,12.1,281,0.0
2026-02-25 15:00:00,23.5,30,1002.9,11.3,288,0.0
2026-02-25 16:00:00,22.4,33,1003.4,10.3,281,0.0
2026-02-25 17:00:00,21.3,36,1003.5,9.2,269,0.0
2026-02-25 18:00:00,20.6,45,1003.3,7.7,261,0.0
2026-02-25 19:00:00,19.6,49,1003.0,8.1,269,0.0
2026-02-25 20:00:00,18.9,53,1002.5,4.5,275,0.0
2026-02-25 21:00:00,18.1,57,1001.8,3.5,242,0.0
2026-02-25 22:00:00,17.4,62,1001.3,3.7,209,0.0
2026-02-25 23:00:00,16.5,70,1001.0,6.6,248,0.0
2026-02-26 00:00:00,16.8,69,1001.4,9.0,254,0.0
2026-02-26 01:00:00,16.9,68,1001.9,8.6,270,0.0
2026-02-26 02:00:00,17.7,65,1002.6,8.8,242,0.0
